epoch,train_loss,train_acc,train_f1,train_pr_auc,val_loss,val_acc,val_f1,val_pr_auc,val_roc_auc
0,0.702778,0.60525,0.250593,0.221593,0.686099,0.330667,0.376398,0.301127,0.609119
1,0.693464,0.33625,0.370803,0.269652,0.674633,0.557333,0.400722,0.320477,0.624322
2,0.68007,0.552583,0.389123,0.292036,0.673376,0.658667,0.390476,0.325931,0.62509
3,0.677446,0.649917,0.366461,0.307184,0.668882,0.630667,0.396514,0.331522,0.63066
4,0.674066,0.631833,0.37932,0.316046,0.663967,0.57,0.406624,0.334331,0.638323
5,0.668424,0.569167,0.402312,0.321642,0.662929,0.547333,0.413137,0.338283,0.645234
6,0.669258,0.54825,0.40967,0.321661,0.660507,0.553333,0.41331,0.342342,0.649988
7,0.667984,0.558167,0.412456,0.327067,0.657729,0.575333,0.409639,0.343681,0.651837
8,0.666123,0.580833,0.4067,0.323981,0.656917,0.615333,0.416582,0.343461,0.653019
9,0.664997,0.614,0.406306,0.328786,0.656048,0.628667,0.422798,0.344597,0.654905
10,0.66333,0.6215,0.407204,0.327108,0.654431,0.615333,0.418933,0.343457,0.657079
11,0.662845,0.612,0.409137,0.334975,0.653556,0.590667,0.418561,0.342565,0.659334
12,0.662274,0.589,0.409058,0.332244,0.653666,0.577333,0.425725,0.342994,0.660937
13,0.66208,0.571833,0.410915,0.330858,0.65341,0.578,0.427149,0.345073,0.661836
14,0.662644,0.572417,0.413265,0.328724,0.652751,0.592667,0.430568,0.346221,0.662154
15,0.661038,0.586333,0.414346,0.33253,0.652506,0.609333,0.42885,0.34561,0.662311
16,0.659871,0.609833,0.413136,0.333696,0.652524,0.62,0.426559,0.346067,0.662844
17,0.660908,0.61675,0.409704,0.334192,0.65218,0.618667,0.428,0.34693,0.663296
18,0.660075,0.619083,0.410422,0.335345,0.651561,0.602,0.423188,0.350638,0.664419
19,0.65902,0.605083,0.410059,0.336273,0.651321,0.590667,0.425094,0.350527,0.664649
20,0.658446,0.594667,0.41454,0.337381,0.651308,0.582667,0.423573,0.352805,0.664616
21,0.657243,0.58625,0.418686,0.340798,0.651093,0.585333,0.424074,0.35374,0.664427
22,0.657951,0.587417,0.419101,0.339074,0.65092,0.590667,0.421846,0.35399,0.663773
23,0.658133,0.599917,0.413869,0.338764,0.65098,0.601333,0.42278,0.354043,0.663258
24,0.656703,0.606,0.415575,0.340397,0.651099,0.607333,0.426485,0.351966,0.662776
25,0.657003,0.61475,0.415328,0.342364,0.651123,0.605333,0.428571,0.350229,0.662483
26,0.65668,0.6095,0.418322,0.336231,0.651147,0.597333,0.425856,0.348993,0.662177
27,0.655874,0.606667,0.419862,0.342573,0.651291,0.583333,0.417521,0.348387,0.661927
28,0.65603,0.596167,0.422132,0.34292,0.651519,0.578667,0.418048,0.346288,0.661526
29,0.655062,0.58975,0.421572,0.34376,0.651686,0.578667,0.418048,0.345548,0.661112
30,0.656465,0.59425,0.419043,0.337335,0.651759,0.583333,0.42076,0.344915,0.660752
31,0.655064,0.596,0.422031,0.345579,0.651709,0.585333,0.418692,0.344341,0.660675
32,0.653862,0.596333,0.422095,0.347098,0.651567,0.588667,0.419567,0.343269,0.660579
33,0.654984,0.596417,0.416014,0.344695,0.651335,0.588,0.415879,0.343036,0.660917
34,0.654289,0.6055,0.419711,0.345494,0.651,0.586667,0.417293,0.343724,0.661684
35,0.654318,0.5975,0.418353,0.34697,0.650635,0.580667,0.414884,0.343607,0.6622
36,0.653456,0.597833,0.422174,0.347864,0.650261,0.578,0.41659,0.344579,0.663053
37,0.653628,0.593333,0.424393,0.346449,0.649855,0.578667,0.415896,0.345438,0.663753
38,0.654569,0.593417,0.419374,0.343811,0.649571,0.582667,0.417132,0.345823,0.664008
39,0.65282,0.599667,0.422735,0.349021,0.649375,0.582667,0.417132,0.346676,0.664116
40,0.652971,0.59925,0.421091,0.348466,0.649244,0.583333,0.415341,0.346975,0.664432
41,0.651656,0.598917,0.4238,0.354909,0.649245,0.584667,0.417212,0.347105,0.664346
42,0.651986,0.60025,0.422396,0.347547,0.649308,0.584667,0.417212,0.347185,0.664235
43,0.65139,0.602667,0.421078,0.353592,0.649441,0.584,0.416822,0.347081,0.663861
44,0.652353,0.6025,0.425301,0.347723,0.649635,0.584667,0.418301,0.346884,0.663574
45,0.652968,0.602417,0.427457,0.347157,0.649907,0.582,0.416744,0.345732,0.663031
46,0.651197,0.601083,0.423322,0.349356,0.65014,0.581333,0.418519,0.345017,0.662803
47,0.651075,0.598917,0.425862,0.349106,0.65031,0.581333,0.418519,0.344746,0.662649
48,0.650754,0.601417,0.428486,0.351623,0.650405,0.579333,0.414113,0.34416,0.662432
49,0.650195,0.603,0.434607,0.352549,0.650532,0.582,0.413471,0.343635,0.661937
50,0.650132,0.602,0.425132,0.350016,0.650548,0.582,0.413471,0.343116,0.661841
51,0.650546,0.609583,0.430118,0.352056,0.650554,0.573333,0.410681,0.343436,0.662069
52,0.649463,0.595,0.428773,0.350682,0.650559,0.576667,0.413666,0.343476,0.662147
53,0.650058,0.598,0.428842,0.349119,0.650545,0.579333,0.408622,0.345332,0.661758
54,0.650557,0.60575,0.428968,0.350958,0.650599,0.58,0.410112,0.345994,0.661551
55,0.64921,0.610083,0.428763,0.351492,0.650622,0.58,0.414498,0.346396,0.661619
56,0.648524,0.601,0.429048,0.355362,0.650635,0.579333,0.417359,0.346737,0.661917
57,0.648901,0.59975,0.430046,0.353205,0.650742,0.582667,0.418216,0.347097,0.661829
58,0.648518,0.607417,0.431107,0.353938,0.650664,0.586667,0.419476,0.346759,0.661902
59,0.648728,0.609583,0.429146,0.355105,0.650588,0.584667,0.421541,0.346428,0.662235
60,0.647971,0.603583,0.432677,0.35703,0.650534,0.583333,0.419684,0.346559,0.662542
61,0.646808,0.597917,0.432687,0.355858,0.650738,0.588667,0.411821,0.346366,0.661849
62,0.648221,0.612917,0.430411,0.35477,0.65076,0.584,0.410208,0.346542,0.661687
63,0.648742,0.6085,0.425532,0.353571,0.650654,0.574,0.419619,0.346353,0.662147
64,0.647392,0.596417,0.43535,0.353124,0.65063,0.58,0.415584,0.346943,0.661816
65,0.647256,0.600583,0.434454,0.356797,0.650768,0.586667,0.40499,0.34765,0.661445
66,0.646251,0.617417,0.432158,0.356093,0.650881,0.577333,0.404135,0.347624,0.661243
67,0.647018,0.607083,0.432406,0.359632,0.651277,0.574667,0.408163,0.347183,0.660652
68,0.646831,0.600167,0.429353,0.35764,0.651964,0.582667,0.410546,0.347053,0.659283
69,0.646185,0.608083,0.434668,0.360407,0.652449,0.586667,0.409524,0.346529,0.658183
70,0.645412,0.611917,0.43435,0.361787,0.652388,0.584667,0.409479,0.345581,0.658232
71,0.645024,0.614917,0.430841,0.362555,0.651896,0.567333,0.40404,0.345114,0.659458
72,0.645145,0.606167,0.440445,0.356536,0.651329,0.572,0.407749,0.345475,0.660475
73,0.645196,0.597083,0.435757,0.358696,0.652018,0.602,0.414132,0.345773,0.659831
74,0.647498,0.62525,0.426915,0.357966,0.651475,0.575333,0.406337,0.345038,0.660008
