node_idx,true_label,pred_label,correct,positive_probability,num_subgraph_nodes,num_subgraph_edges,any_error,GradExplainer_status,GradExplainer_summary,IntegratedGradExplainer_status,IntegratedGradExplainer_summary,GNNExplainer_status,GNNExplainer_summary
11337,0,0,True,0.356243,208,994,False,ok,"{""feature_min"": -0.000813, ""feature_max"": 0.002297, ""feature_mean"": 0.000444, ""feature_std"": 0.000912, ""node_min"": 0.00116, ""node_max"": 0.014907, ""node_mean"": 0.004513, ""node_std"": 0.002412}",ok,"{""feature_min"": -0.00491, ""feature_max"": 0.00383, ""feature_mean"": -0.00049, ""feature_std"": 0.001774, ""node_min"": -0.018466, ""node_max"": 0.016684, ""node_mean"": -0.004191, ""node_std"": 0.006396}",ok,"{""feature_min"": 0.137143, ""feature_max"": 0.17118, ""feature_mean"": 0.15571, ""feature_std"": 0.008395, ""node_min"": 0.0, ""node_max"": 0.0, ""node_mean"": 0.0, ""node_std"": 0.0, ""edge_min"": 0.0, ""edge_max"": 0.0, ""edge_mean"": 0.0, ""edge_std"": 0.0}"
9343,0,1,False,0.690279,305,1887,False,ok,"{""feature_min"": -0.001252, ""feature_max"": 0.003123, ""feature_mean"": 0.000746, ""feature_std"": 0.001144, ""node_min"": 0.002192, ""node_max"": 0.055337, ""node_mean"": 0.012073, ""node_std"": 0.006801}",ok,"{""feature_min"": -0.003166, ""feature_max"": 0.000613, ""feature_mean"": -0.000545, ""feature_std"": 0.000966, ""node_min"": -0.01015, ""node_max"": 0.017453, ""node_mean"": 0.005087, ""node_std"": 0.004943}",ok,"{""feature_min"": 0.119084, ""feature_max"": 0.169758, ""feature_mean"": 0.14723, ""feature_std"": 0.010895, ""node_min"": 0.0, ""node_max"": 0.0, ""node_mean"": 0.0, ""node_std"": 0.0, ""edge_min"": 0.0, ""edge_max"": 0.0, ""edge_mean"": 0.0, ""edge_std"": 0.0}"
8560,0,1,False,0.510938,326,2065,False,ok,"{""feature_min"": -0.00066, ""feature_max"": 0.002541, ""feature_mean"": 0.00064, ""feature_std"": 0.000919, ""node_min"": 0.001977, ""node_max"": 0.028843, ""node_mean"": 0.008183, ""node_std"": 0.004196}",ok,"{""feature_min"": -0.003594, ""feature_max"": 0.003307, ""feature_mean"": 3e-06, ""feature_std"": 0.001211, ""node_min"": -0.011143, ""node_max"": 0.015305, ""node_mean"": 0.001244, ""node_std"": 0.004401}",ok,"{""feature_min"": 0.131479, ""feature_max"": 0.171882, ""feature_mean"": 0.148465, ""feature_std"": 0.010729, ""node_min"": 0.0, ""node_max"": 0.0, ""node_mean"": 0.0, ""node_std"": 0.0, ""edge_min"": 0.0, ""edge_max"": 0.0, ""edge_mean"": 0.0, ""edge_std"": 0.0}"
9600,0,1,False,0.69279,288,1784,False,ok,"{""feature_min"": -0.001397, ""feature_max"": 0.004946, ""feature_mean"": 0.00113, ""feature_std"": 0.001851, ""node_min"": 0.003339, ""node_max"": 0.052637, ""node_mean"": 0.012905, ""node_std"": 0.007112}",ok,"{""feature_min"": -0.005903, ""feature_max"": 0.005465, ""feature_mean"": 0.000433, ""feature_std"": 0.002331, ""node_min"": -0.013071, ""node_max"": 0.026445, ""node_mean"": 0.005956, ""node_std"": 0.007759}",ok,"{""feature_min"": 0.129632, ""feature_max"": 0.174074, ""feature_mean"": 0.149996, ""feature_std"": 0.010896, ""node_min"": 0.0, ""node_max"": 0.0, ""node_mean"": 0.0, ""node_std"": 0.0, ""edge_min"": 0.0, ""edge_max"": 0.0, ""edge_mean"": 0.0, ""edge_std"": 0.0}"
5486,0,1,False,0.702696,274,1620,False,ok,"{""feature_min"": -0.001449, ""feature_max"": 0.004343, ""feature_mean"": 0.000812, ""feature_std"": 0.001749, ""node_min"": 0.002913, ""node_max"": 0.049744, ""node_mean"": 0.010961, ""node_std"": 0.005974}",ok,"{""feature_min"": -0.001668, ""feature_max"": 0.004401, ""feature_mean"": 0.000431, ""feature_std"": 0.001491, ""node_min"": -0.013762, ""node_max"": 0.024749, ""node_mean"": 0.007437, ""node_std"": 0.006204}",ok,"{""feature_min"": 0.11478, ""feature_max"": 0.171798, ""feature_mean"": 0.148799, ""feature_std"": 0.011978, ""node_min"": 0.0, ""node_max"": 0.0, ""node_mean"": 0.0, ""node_std"": 0.0, ""edge_min"": 0.0, ""edge_max"": 0.0, ""edge_mean"": 0.0, ""edge_std"": 0.0}"
1116,0,1,False,0.774894,325,2007,False,ok,"{""feature_min"": -0.00173, ""feature_max"": 0.004596, ""feature_mean"": 0.001111, ""feature_std"": 0.001646, ""node_min"": 0.006168, ""node_max"": 0.072868, ""node_mean"": 0.016101, ""node_std"": 0.007673}",ok,"{""feature_min"": -0.004975, ""feature_max"": 0.005371, ""feature_mean"": 0.000127, ""feature_std"": 0.002156, ""node_min"": -0.013123, ""node_max"": 0.029237, ""node_mean"": 0.007525, ""node_std"": 0.006756}",ok,"{""feature_min"": 0.132541, ""feature_max"": 0.16212, ""feature_mean"": 0.149044, ""feature_std"": 0.008264, ""node_min"": 0.0, ""node_max"": 0.0, ""node_mean"": 0.0, ""node_std"": 0.0, ""edge_min"": 0.0, ""edge_max"": 0.0, ""edge_mean"": 0.0, ""edge_std"": 0.0}"
7733,1,1,True,0.543829,170,853,False,ok,"{""feature_min"": -0.004607, ""feature_max"": 0.001502, ""feature_mean"": -0.001198, ""feature_std"": 0.001897, ""node_min"": -0.046808, ""node_max"": -0.002471, ""node_mean"": -0.01091, ""node_std"": 0.006821}",ok,"{""feature_min"": -0.007501, ""feature_max"": 0.002838, ""feature_mean"": -0.000882, ""feature_std"": 0.002603, ""node_min"": -0.029393, ""node_max"": 0.022994, ""node_mean"": -0.001948, ""node_std"": 0.009457}",ok,"{""feature_min"": 0.133922, ""feature_max"": 0.162846, ""feature_mean"": 0.148437, ""feature_std"": 0.007064, ""node_min"": 0.0, ""node_max"": 0.0, ""node_mean"": 0.0, ""node_std"": 0.0, ""edge_min"": 0.0, ""edge_max"": 0.0, ""edge_mean"": 0.0, ""edge_std"": 0.0}"
12759,0,0,True,0.419101,349,1916,False,ok,"{""feature_min"": -0.00356, ""feature_max"": 0.001184, ""feature_mean"": -0.000937, ""feature_std"": 0.001458, ""node_min"": -0.043421, ""node_max"": -0.003589, ""node_mean"": -0.011479, ""node_std"": 0.006161}",ok,"{""feature_min"": -0.002462, ""feature_max"": 0.00272, ""feature_mean"": -2.9e-05, ""feature_std"": 0.00107, ""node_min"": -0.015276, ""node_max"": 0.010315, ""node_mean"": -0.001132, ""node_std"": 0.004356}",ok,"{""feature_min"": 0.134165, ""feature_max"": 0.160277, ""feature_mean"": 0.147305, ""feature_std"": 0.007058, ""node_min"": 0.0, ""node_max"": 0.0, ""node_mean"": 0.0, ""node_std"": 0.0, ""edge_min"": 0.0, ""edge_max"": 0.0, ""edge_mean"": 0.0, ""edge_std"": 0.0}"
10289,0,1,False,0.631987,206,1273,False,ok,"{""feature_min"": -0.00116, ""feature_max"": 0.00597, ""feature_mean"": 0.001316, ""feature_std"": 0.002214, ""node_min"": 0.00233, ""node_max"": 0.072793, ""node_mean"": 0.016434, ""node_std"": 0.010417}",ok,"{""feature_min"": -0.006949, ""feature_max"": 0.004184, ""feature_mean"": -0.000372, ""feature_std"": 0.002114, ""node_min"": -0.023763, ""node_max"": 0.030214, ""node_mean"": 0.005298, ""node_std"": 0.010263}",ok,"{""feature_min"": 0.137808, ""feature_max"": 0.176853, ""feature_mean"": 0.150952, ""feature_std"": 0.010159, ""node_min"": 0.0, ""node_max"": 0.0, ""node_mean"": 0.0, ""node_std"": 0.0, ""edge_min"": 0.0, ""edge_max"": 0.0, ""edge_mean"": 0.0, ""edge_std"": 0.0}"
10984,1,1,True,0.711847,245,1461,False,ok,"{""feature_min"": -0.002398, ""feature_max"": 0.008483, ""feature_mean"": 0.001587, ""feature_std"": 0.002752, ""node_min"": 0.005535, ""node_max"": 0.078354, ""node_mean"": 0.017471, ""node_std"": 0.010212}",ok,"{""feature_min"": -0.002884, ""feature_max"": 0.001018, ""feature_mean"": -0.000165, ""feature_std"": 0.000817, ""node_min"": -0.01478, ""node_max"": 0.007311, ""node_mean"": -0.004286, ""node_std"": 0.004572}",ok,"{""feature_min"": 0.13317, ""feature_max"": 0.161953, ""feature_mean"": 0.148499, ""feature_std"": 0.008544, ""node_min"": 0.0, ""node_max"": 0.0, ""node_mean"": 0.0, ""node_std"": 0.0, ""edge_min"": 0.0, ""edge_max"": 0.0, ""edge_mean"": 0.0, ""edge_std"": 0.0}"
340,0,0,True,0.454718,213,1047,False,ok,"{""feature_min"": -0.004498, ""feature_max"": 0.001236, ""feature_mean"": -0.001003, ""feature_std"": 0.001641, ""node_min"": -0.049556, ""node_max"": -0.003162, ""node_mean"": -0.012937, ""node_std"": 0.0072}",ok,"{""feature_min"": -0.000854, ""feature_max"": 0.00546, ""feature_mean"": 0.000984, ""feature_std"": 0.0018, ""node_min"": -0.015271, ""node_max"": 0.01774, ""node_mean"": -0.000215, ""node_std"": 0.005961}",ok,"{""feature_min"": 0.134126, ""feature_max"": 0.169682, ""feature_mean"": 0.149571, ""feature_std"": 0.009624, ""node_min"": 0.0, ""node_max"": 0.0, ""node_mean"": 0.0, ""node_std"": 0.0, ""edge_min"": 0.0, ""edge_max"": 0.0, ""edge_mean"": 0.0, ""edge_std"": 0.0}"
7855,0,1,False,0.686826,211,1068,False,ok,"{""feature_min"": -0.001344, ""feature_max"": 0.00633, ""feature_mean"": 0.001369, ""feature_std"": 0.002074, ""node_min"": 0.004807, ""node_max"": 0.0722, ""node_mean"": 0.0184, ""node_std"": 0.008974}",ok,"{""feature_min"": -0.002855, ""feature_max"": 0.007644, ""feature_mean"": 0.000641, ""feature_std"": 0.002286, ""node_min"": -0.015823, ""node_max"": 0.034116, ""node_mean"": 0.008558, ""node_std"": 0.008558}",ok,"{""feature_min"": 0.128678, ""feature_max"": 0.162835, ""feature_mean"": 0.148737, ""feature_std"": 0.008498, ""node_min"": 0.0, ""node_max"": 0.0, ""node_mean"": 0.0, ""node_std"": 0.0, ""edge_min"": 0.0, ""edge_max"": 0.0, ""edge_mean"": 0.0, ""edge_std"": 0.0}"
7472,1,1,True,0.557147,246,1401,False,ok,"{""feature_min"": -0.002673, ""feature_max"": 0.000924, ""feature_mean"": -0.000626, ""feature_std"": 0.000935, ""node_min"": -0.028882, ""node_max"": -0.002344, ""node_mean"": -0.007636, ""node_std"": 0.004004}",ok,"{""feature_min"": -0.002951, ""feature_max"": 0.001652, ""feature_mean"": -3.3e-05, ""feature_std"": 0.001052, ""node_min"": -0.016917, ""node_max"": 0.012982, ""node_mean"": -0.001222, ""node_std"": 0.005254}",ok,"{""feature_min"": 0.13624, ""feature_max"": 0.168141, ""feature_mean"": 0.150532, ""feature_std"": 0.009838, ""node_min"": 0.0, ""node_max"": 0.0, ""node_mean"": 0.0, ""node_std"": 0.0, ""edge_min"": 0.0, ""edge_max"": 0.0, ""edge_mean"": 0.0, ""edge_std"": 0.0}"
5253,0,0,True,0.435008,71,297,False,ok,"{""feature_min"": -0.003085, ""feature_max"": 0.010677, ""feature_mean"": 0.00223, ""feature_std"": 0.00391, ""node_min"": 0.006367, ""node_max"": 0.053251, ""node_mean"": 0.019558, ""node_std"": 0.010111}",ok,"{""feature_min"": -0.010298, ""feature_max"": 0.018067, ""feature_mean"": -0.000118, ""feature_std"": 0.00481, ""node_min"": -0.042778, ""node_max"": 0.030618, ""node_mean"": -0.003092, ""node_std"": 0.017345}",ok,"{""feature_min"": 0.131147, ""feature_max"": 0.178621, ""feature_mean"": 0.14997, ""feature_std"": 0.01152, ""node_min"": 0.0, ""node_max"": 0.0, ""node_mean"": 0.0, ""node_std"": 0.0, ""edge_min"": 0.0, ""edge_max"": 0.0, ""edge_mean"": 0.0, ""edge_std"": 0.0}"
