number,value,params_dropout,params_edge_weight_mode,params_hidden_dim,params_lr,params_model_type,params_num_layers,params_weight_decay,state,user_attrs_best_epoch,user_attrs_last_val_balanced_acc,user_attrs_last_val_f1
0,0.35456614263225983,0.10702944802483476,threshold_0_7,64,0.000943502846266456,gcn,3,0.0018826774841506294,COMPLETE,84,0.6001954367784748,0.4073714839961203
1,0.3446214124499179,0.18685176867121533,none,32,0.003295787303224361,gcn,2,0.000700233104901399,COMPLETE,117,0.6083386358815865,0.4166666666666667
2,0.3448433582266155,0.4948170486369333,similarity,64,0.0016000299148820737,gcn,4,8.331160984879923e-05,COMPLETE,139,0.6161864072963064,0.4259927797833935
3,0.34289185223988927,0.25964501692442166,none,32,0.0038036648818897145,gcn,2,0.0014066521018789087,COMPLETE,129,0.6189361573190315,0.4270734032411821
4,0.3580458590272668,0.2649736051868049,,32,0.0025253905446520806,sage,4,0.00035853268005848983,COMPLETE,23,0.6064827439929703,0.4161319890009166
5,0.34781518503759623,0.546031615675287,squared,64,0.0019249954950029782,gcn,3,0.002133777180470994,COMPLETE,32,0.6164136593643001,0.4250936329588015
6,0.35611730281630993,0.34901754047059874,threshold_0_7,32,0.0017606296660506175,gcn,4,0.0003740254464478552,COMPLETE,92,0.6121943459685484,0.4209541627689429
7,0.33310220436756294,0.5221977292166194,squared,32,0.000465763861390214,gcn,2,3.3330149687206994e-05,COMPLETE,114,0.6145426173378177,0.4206268958543984
8,0.2624270879801103,0.26553854341251365,similarity,32,0.00014838486708828395,gcn,2,1.56723039265098e-05,COMPLETE,139,0.5114762294336879,0.33583959899749377
9,0.3408223178321987,0.2573245682223544,none,128,0.0010914792484405535,gcn,3,0.001612394581087634,COMPLETE,126,0.6136184589279763,0.42125603864734296
10,0.3452364251007264,0.38726899899450706,,128,0.008072136216434905,sage,4,1.8596848633185812e-06,COMPLETE,28,0.6150652970942035,0.42662116040955633
11,0.3453739601539484,0.41823184359596177,,32,0.0005399868068591807,sage,4,0.0002292097903658251,COMPLETE,139,0.6179741235645244,0.42641509433962266
12,0.35478595864399787,0.33624242360890405,,32,0.007336939697970681,sage,4,0.00025308015192381406,COMPLETE,20,0.6302760355119231,0.4397163120567376
13,0.3512312131444848,0.34544816797313604,,32,0.0037302208606723093,sage,4,0.0002557847287594919,COMPLETE,18,0.6048844044480804,0.41353383458646614
14,0.32280439808887956,0.6278194470876044,,32,0.0003606884818483584,sage,4,8.939963712495777e-05,COMPLETE,139,0.5863103354240524,0.3942857142857143
15,0.3517733553343364,0.17957171822375131,,128,0.002356157887931512,sage,3,0.0006247193501935751,COMPLETE,28,0.6093006696360936,0.41722488038277517
16,0.34623419438091774,0.44118389373797795,,32,0.0009156785327148584,sage,4,1.5046508974347746e-05,COMPLETE,98,0.6028239856982698,0.41132075471698115
17,0.3472482234369324,0.3138074050904403,,32,0.005292431098701618,sage,3,0.0006744730818003857,COMPLETE,22,0.6183074265975821,0.4269662921348315
18,0.34220592111489023,0.1766006667468895,threshold_0_7,64,0.00022547203055620215,gcn,4,2.1775129804635472e-06,COMPLETE,136,0.6062100415113778,0.41385948026948993
19,0.34642765942671655,0.45787273863761285,,128,0.001380793053744046,sage,3,0.00013624424260939516,COMPLETE,28,0.616640911432294,0.4241245136186771
20,0.3566825174050422,0.2869347306708181,threshold_0_7,32,0.0025767716679750505,gcn,4,5.771459929119616e-06,COMPLETE,69,0.6104672302517953,0.4193849021435228
21,0.3531614090611728,0.2957423897755206,threshold_0_7,32,0.0025864463689338523,gcn,4,5.596635642894365e-06,COMPLETE,75,0.6010286943611187,0.40913415794481445
22,0.3542466855060887,0.37542931357121223,threshold_0_7,32,0.0007108891428311919,gcn,4,3.8723257488607105e-05,COMPLETE,139,0.6135881586522438,0.4219489120151372
23,0.33884794316199107,0.22723689501545843,threshold_0_7,32,0.0049298836557894144,gcn,4,6.08602086484619e-06,COMPLETE,28,0.6041571978305003,0.41391941391941395
24,0.36029119041979313,0.3128838334867663,threshold_0_7,32,0.0021424445566577553,gcn,4,0.0004344458019971471,COMPLETE,72,0.6140578129260976,0.42346471127406043
