node_idx,true_label,pred_label,correct,positive_probability,num_subgraph_nodes,num_subgraph_edges,any_error,GradExplainer_status,GradExplainer_summary,IntegratedGradExplainer_status,IntegratedGradExplainer_summary,GNNExplainer_status,GNNExplainer_summary
11337,0,0,True,0.347273,195,834,False,ok,"{""feature_min"": -0.000746, ""feature_max"": 0.002124, ""feature_mean"": 0.000422, ""feature_std"": 0.000843, ""node_min"": 0.001804, ""node_max"": 0.015813, ""node_mean"": 0.004907, ""node_std"": 0.002473}",ok,"{""feature_min"": -0.002226, ""feature_max"": 0.002626, ""feature_mean"": -4.1e-05, ""feature_std"": 0.0011, ""node_min"": -0.01651, ""node_max"": 0.015151, ""node_mean"": -0.003683, ""node_std"": 0.00582}",ok,"{""feature_min"": 0.133995, ""feature_max"": 0.170069, ""feature_mean"": 0.146759, ""feature_std"": 0.00829, ""node_min"": 0.0, ""node_max"": 0.0, ""node_mean"": 0.0, ""node_std"": 0.0, ""edge_min"": 0.0, ""edge_max"": 0.0, ""edge_mean"": 0.0, ""edge_std"": 0.0}"
9343,0,1,False,0.659334,197,1052,False,ok,"{""feature_min"": -0.001907, ""feature_max"": 0.004162, ""feature_mean"": 0.001043, ""feature_std"": 0.001561, ""node_min"": 0.004832, ""node_max"": 0.050518, ""node_mean"": 0.013461, ""node_std"": 0.00633}",ok,"{""feature_min"": -0.003061, ""feature_max"": 0.003945, ""feature_mean"": 0.000108, ""feature_std"": 0.001634, ""node_min"": -0.012401, ""node_max"": 0.025903, ""node_mean"": 0.00773, ""node_std"": 0.007037}",ok,"{""feature_min"": 0.130363, ""feature_max"": 0.170066, ""feature_mean"": 0.148068, ""feature_std"": 0.010129, ""node_min"": 0.0, ""node_max"": 0.0, ""node_mean"": 0.0, ""node_std"": 0.0, ""edge_min"": 0.0, ""edge_max"": 0.0, ""edge_mean"": 0.0, ""edge_std"": 0.0}"
8560,0,1,False,0.514058,225,1234,False,ok,"{""feature_min"": -0.001082, ""feature_max"": 0.004002, ""feature_mean"": 0.001025, ""feature_std"": 0.001492, ""node_min"": 0.004056, ""node_max"": 0.036432, ""node_mean"": 0.011127, ""node_std"": 0.005234}",ok,"{""feature_min"": -0.005355, ""feature_max"": 0.004089, ""feature_mean"": -0.000167, ""feature_std"": 0.001657, ""node_min"": -0.016898, ""node_max"": 0.019436, ""node_mean"": 0.00215, ""node_std"": 0.006842}",ok,"{""feature_min"": 0.133115, ""feature_max"": 0.164062, ""feature_mean"": 0.149233, ""feature_std"": 0.008075, ""node_min"": 0.0, ""node_max"": 0.0, ""node_mean"": 0.0, ""node_std"": 0.0, ""edge_min"": 0.0, ""edge_max"": 0.0, ""edge_mean"": 0.0, ""edge_std"": 0.0}"
9600,0,1,False,0.701741,214,1114,False,ok,"{""feature_min"": -0.001852, ""feature_max"": 0.006083, ""feature_mean"": 0.001475, ""feature_std"": 0.002332, ""node_min"": 0.007517, ""node_max"": 0.058252, ""node_mean"": 0.016334, ""node_std"": 0.008099}",ok,"{""feature_min"": -0.007101, ""feature_max"": 0.005602, ""feature_mean"": -0.000191, ""feature_std"": 0.002322, ""node_min"": -0.015268, ""node_max"": 0.03454, ""node_mean"": 0.008455, ""node_std"": 0.010005}",ok,"{""feature_min"": 0.12567, ""feature_max"": 0.170815, ""feature_mean"": 0.147667, ""feature_std"": 0.011385, ""node_min"": 0.0, ""node_max"": 0.0, ""node_mean"": 0.0, ""node_std"": 0.0, ""edge_min"": 0.0, ""edge_max"": 0.0, ""edge_mean"": 0.0, ""edge_std"": 0.0}"
5486,0,1,False,0.695964,220,1156,False,ok,"{""feature_min"": -0.001876, ""feature_max"": 0.005145, ""feature_mean"": 0.001083, ""feature_std"": 0.00226, ""node_min"": 0.003972, ""node_max"": 0.036525, ""node_mean"": 0.012156, ""node_std"": 0.005818}",ok,"{""feature_min"": -0.002641, ""feature_max"": 0.005343, ""feature_mean"": 0.000146, ""feature_std"": 0.00151, ""node_min"": -0.009196, ""node_max"": 0.033114, ""node_mean"": 0.009869, ""node_std"": 0.007681}",ok,"{""feature_min"": 0.126573, ""feature_max"": 0.167058, ""feature_mean"": 0.148201, ""feature_std"": 0.010419, ""node_min"": 0.0, ""node_max"": 0.0, ""node_mean"": 0.0, ""node_std"": 0.0, ""edge_min"": 0.0, ""edge_max"": 0.0, ""edge_mean"": 0.0, ""edge_std"": 0.0}"
1116,0,1,False,0.753039,210,1112,False,ok,"{""feature_min"": -0.002493, ""feature_max"": 0.007264, ""feature_mean"": 0.001767, ""feature_std"": 0.002624, ""node_min"": 0.006991, ""node_max"": 0.054058, ""node_mean"": 0.019956, ""node_std"": 0.00884}",ok,"{""feature_min"": -0.007172, ""feature_max"": 0.002305, ""feature_mean"": -0.000481, ""feature_std"": 0.001887, ""node_min"": -0.018938, ""node_max"": 0.041034, ""node_mean"": 0.012621, ""node_std"": 0.010912}",ok,"{""feature_min"": 0.129482, ""feature_max"": 0.165375, ""feature_mean"": 0.146814, ""feature_std"": 0.009908, ""node_min"": 0.0, ""node_max"": 0.0, ""node_mean"": 0.0, ""node_std"": 0.0, ""edge_min"": 0.0, ""edge_max"": 0.0, ""edge_mean"": 0.0, ""edge_std"": 0.0}"
7733,1,1,True,0.553844,151,668,False,ok,"{""feature_min"": -0.002145, ""feature_max"": 0.005478, ""feature_mean"": 0.001344, ""feature_std"": 0.002264, ""node_min"": 0.005755, ""node_max"": 0.055602, ""node_mean"": 0.015136, ""node_std"": 0.008357}",ok,"{""feature_min"": -0.005436, ""feature_max"": 0.002436, ""feature_mean"": 0.00013, ""feature_std"": 0.001617, ""node_min"": -0.024988, ""node_max"": 0.018817, ""node_mean"": -0.002461, ""node_std"": 0.00761}",ok,"{""feature_min"": 0.137963, ""feature_max"": 0.171141, ""feature_mean"": 0.1529, ""feature_std"": 0.007028, ""node_min"": 0.0, ""node_max"": 0.0, ""node_mean"": 0.0, ""node_std"": 0.0, ""edge_min"": 0.0, ""edge_max"": 0.0, ""edge_mean"": 0.0, ""edge_std"": 0.0}"
12759,0,0,True,0.416571,257,1182,False,ok,"{""feature_min"": -0.000907, ""feature_max"": 0.002618, ""feature_mean"": 0.000719, ""feature_std"": 0.001125, ""node_min"": 0.003418, ""node_max"": 0.025223, ""node_mean"": 0.007695, ""node_std"": 0.003733}",ok,"{""feature_min"": -0.001545, ""feature_max"": 0.004689, ""feature_mean"": 0.000286, ""feature_std"": 0.001496, ""node_min"": -0.01792, ""node_max"": 0.014602, ""node_mean"": -0.002251, ""node_std"": 0.005687}",ok,"{""feature_min"": 0.133074, ""feature_max"": 0.166, ""feature_mean"": 0.148945, ""feature_std"": 0.009023, ""node_min"": 0.0, ""node_max"": 0.0, ""node_mean"": 0.0, ""node_std"": 0.0, ""edge_min"": 0.0, ""edge_max"": 0.0, ""edge_mean"": 0.0, ""edge_std"": 0.0}"
10289,0,1,False,0.621344,160,864,False,ok,"{""feature_min"": -0.002671, ""feature_max"": 0.000681, ""feature_mean"": -0.00058, ""feature_std"": 0.000998, ""node_min"": -0.020867, ""node_max"": -0.002589, ""node_mean"": -0.006709, ""node_std"": 0.00308}",ok,"{""feature_min"": -0.009999, ""feature_max"": 0.00753, ""feature_mean"": 0.000602, ""feature_std"": 0.003152, ""node_min"": -0.01912, ""node_max"": 0.033068, ""node_mean"": 0.006097, ""node_std"": 0.009977}",ok,"{""feature_min"": 0.134681, ""feature_max"": 0.163965, ""feature_mean"": 0.149762, ""feature_std"": 0.007952, ""node_min"": 0.0, ""node_max"": 0.0, ""node_mean"": 0.0, ""node_std"": 0.0, ""edge_min"": 0.0, ""edge_max"": 0.0, ""edge_mean"": 0.0, ""edge_std"": 0.0}"
10984,1,1,True,0.693602,205,1094,False,ok,"{""feature_min"": -0.002448, ""feature_max"": 0.00754, ""feature_mean"": 0.001482, ""feature_std"": 0.002577, ""node_min"": 0.00888, ""node_max"": 0.051621, ""node_mean"": 0.017894, ""node_std"": 0.008621}",ok,"{""feature_min"": -0.003287, ""feature_max"": 0.004412, ""feature_mean"": 0.000154, ""feature_std"": 0.001498, ""node_min"": -0.015859, ""node_max"": 0.008331, ""node_mean"": -0.004526, ""node_std"": 0.004795}",ok,"{""feature_min"": 0.134314, ""feature_max"": 0.158957, ""feature_mean"": 0.147294, ""feature_std"": 0.007304, ""node_min"": 0.0, ""node_max"": 0.0, ""node_mean"": 0.0, ""node_std"": 0.0, ""edge_min"": 0.0, ""edge_max"": 0.0, ""edge_mean"": 0.0, ""edge_std"": 0.0}"
