epoch,train_loss,val_acc,val_balanced_acc,val_f1,val_fn,val_fp,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc,val_specificity,val_threshold,val_tn,val_tp
0,0.7292072176933289,0.39,0.465844014180529,0.3115124153498871,135,780,0.7142582535743713,0.22637944202499943,0.20972644376899696,0.6052631578947368,0.45913250310577824,0.32642487046632124,0.5,378,207
1,0.7133809328079224,0.468,0.4607308426506681,0.27717391304347827,189,609,0.7066723108291626,0.23320861957808792,0.20078740157480315,0.4473684210526316,0.4631801149390459,0.4740932642487047,0.5,549,153
2,0.7053790092468262,0.5733333333333334,0.4887737478411054,0.2626728110599078,228,412,0.7026368379592896,0.23740978719661587,0.21673003802281368,0.3333333333333333,0.4710581866294983,0.6442141623488774,0.5,746,114
3,0.7029390335083008,0.6353333333333333,0.5000833257582644,0.239221140472879,256,291,0.6994900107383728,0.2431033422094781,0.22811671087533156,0.25146198830409355,0.4845165591006878,0.7487046632124352,0.5,867,86
4,0.7012097239494324,0.6693333333333333,0.5076811198981911,0.225,270,226,0.6962372660636902,0.25107812429115184,0.24161073825503357,0.21052631578947367,0.5043417770101708,0.8048359240069085,0.5,932,72
5,0.6960082054138184,0.672,0.5197103293639972,0.25,260,232,0.6929804682731628,0.261898760768994,0.2611464968152866,0.23976608187134502,0.525432031431486,0.7996545768566494,0.5,926,82
6,0.6930720806121826,0.652,0.5304517771111718,0.28688524590163933,237,285,0.6899421215057373,0.2722456349230548,0.2692307692307692,0.30701754385964913,0.5449656091870436,0.7538860103626943,0.5,873,105
7,0.6905145049095154,0.6173333333333333,0.543026391540163,0.32629107981220656,203,371,0.6873748898506165,0.2798298378824782,0.2725490196078431,0.4064327485380117,0.5617948873334747,0.6796200345423143,0.5,787,139
8,0.6880462169647217,0.5813333333333334,0.5444353543617246,0.3417190775681342,179,449,0.6853980422019958,0.2835096237658372,0.26633986928104575,0.4766081871345029,0.5739528729711441,0.6122625215889465,0.5,709,163
9,0.6870370507240295,0.5493333333333333,0.5556464563827531,0.36466165413533835,148,528,0.6838926672935486,0.2875489804217042,0.26869806094182824,0.5672514619883041,0.5841539658010888,0.5440414507772021,0.5,630,194
10,0.6855060458183289,0.5246666666666666,0.5582144047510832,0.3729111697449428,130,583,0.6826930046081543,0.2900760101235128,0.26666666666666666,0.6198830409356725,0.5908301265541517,0.49654576856649396,0.5,575,212
11,0.6840615272521973,0.52,0.5634336272460079,0.3793103448275862,122,598,0.6815807223320007,0.2919041717256551,0.26894865525672373,0.6432748538011696,0.5966402044258603,0.4835924006908463,0.5,560,220
12,0.682854175567627,0.5253333333333333,0.5720389055540406,0.38726333907056804,117,595,0.680392324924469,0.2944990761365883,0.27439024390243905,0.6578947368421053,0.6014983486349725,0.48618307426597585,0.5,563,225
13,0.6811283230781555,0.534,0.5807426597582037,0.39480519480519477,114,585,0.6790805459022522,0.29683740629350425,0.28044280442804426,0.6666666666666666,0.6051066064701189,0.4948186528497409,0.5,573,228
14,0.6806459426879883,0.5433333333333333,0.5775156803926915,0.390026714158504,123,562,0.6777151226997375,0.2996165641151277,0.28040973111395645,0.6403508771929824,0.6081038087446596,0.5146804835924007,0.5,596,219
15,0.6777901649475098,0.5593333333333333,0.5806669090688725,0.39078341013824885,130,531,0.6763550043106079,0.3022820334329339,0.2853297442799462,0.6198830409356725,0.6109267844337383,0.5414507772020726,0.5,627,212
16,0.6768478155136108,0.57,0.5772732781868315,0.38512869399428024,140,505,0.6750892996788025,0.3046526353477157,0.2857142857142857,0.5906432748538012,0.6133533315153168,0.5639032815198618,0.5,653,202
17,0.6751624941825867,0.5873333333333334,0.5854089022210103,0.3913470993117011,143,476,0.6739846467971802,0.30661183962923655,0.2948148148148148,0.5818713450292398,0.6152748740013534,0.5889464594127807,0.5,682,199
18,0.6749638915061951,0.5866666666666667,0.5798260764172953,0.3849206349206349,148,472,0.6730552911758423,0.3083278189282996,0.2912912912912913,0.5672514619883041,0.6168328131786,0.5924006908462867,0.5,686,194
19,0.6740640997886658,0.5953333333333334,0.5813183649971214,0.3850050658561297,152,455,0.6722836494445801,0.309678093517872,0.29457364341085274,0.5555555555555556,0.6183781272409579,0.6070811744386874,0.5,703,190
20,0.6743865013122559,0.598,0.5799548525891586,0.3828045035823951,155,448,0.6715645790100098,0.3107727994530624,0.29448818897637796,0.5467836257309941,0.6199310163722489,0.613126079447323,0.5,710,187
21,0.6712953448295593,0.596,0.5807199345514045,0.38414634146341464,153,453,0.6708609461784363,0.3120283834479419,0.29439252336448596,0.5526315789473685,0.6213526043086992,0.6088082901554405,0.5,705,189
22,0.6701954007148743,0.594,0.5835454352634609,0.38793969849246224,149,460,0.6701739430427551,0.31371338008486427,0.29555895865237364,0.564327485380117,0.6230595198416305,0.6027633851468048,0.5,698,193
23,0.6711736917495728,0.59,0.5850755991879526,0.39048562933597625,145,470,0.6695154309272766,0.3142042623739386,0.29535232383808097,0.5760233918128655,0.6243245563534628,0.5941278065630398,0.5,688,197
24,0.6701717376708984,0.5826666666666667,0.5823864497166924,0.388671875,143,483,0.6688925623893738,0.31552991436561917,0.29178885630498536,0.5818713450292398,0.6259506711511074,0.582901554404145,0.5,675,199
25,0.6707978248596191,0.584,0.5914916825743115,0.3988439306358382,135,489,0.668296217918396,0.31677317636990465,0.2974137931034483,0.6052631578947368,0.6278166631316344,0.5777202072538861,0.5,669,207
26,0.6702746748924255,0.5773333333333334,0.5871738932824289,0.3950381679389313,135,499,0.6677016019821167,0.31827431235087056,0.29320113314447593,0.6052631578947368,0.6296220545606964,0.5690846286701209,0.5,659,207
