number,value,params_dropout,params_edge_weight_mode,params_hidden_dim,params_lr,params_model_type,params_num_layers,params_weight_decay,state,user_attrs_best_epoch,user_attrs_last_val_balanced_acc,user_attrs_last_val_f1
0,0.3547264677948412,0.10702944802483476,threshold_0_7,64,0.000943502846266456,gcn,3,0.0018826774841506294,COMPLETE,85,0.600627215707663,0.4077669902912622
1,0.341677957026939,0.18685176867121533,none,32,0.003295787303224361,gcn,2,0.000700233104901399,COMPLETE,119,0.6124594733812078,0.42105263157894735
2,0.3434079811030998,0.4948170486369333,similarity,64,0.0016000299148820737,gcn,4,8.331160984879923e-05,COMPLETE,138,0.6185119534587765,0.4281842818428185
3,0.34449508541365154,0.25964501692442166,none,32,0.0038036648818897145,gcn,2,0.0014066521018789087,COMPLETE,133,0.6113610883859043,0.41944709246901807
4,0.3589694790408132,0.2649736051868049,,32,0.0025253905446520806,sage,4,0.00035853268005848983,COMPLETE,23,0.6074144774717449,0.41742286751361163
5,0.34789063046769747,0.546031615675287,squared,64,0.0019249954950029782,gcn,3,0.002133777180470994,COMPLETE,33,0.6130579038269248,0.4217432052483599
6,0.3558848781682891,0.34901754047059874,threshold_0_7,32,0.0017606296660506175,gcn,4,0.0003740254464478552,COMPLETE,90,0.612292821864679,0.42075471698113204
7,0.3312638641371268,0.5221977292166194,squared,32,0.000465763861390214,gcn,2,3.3330149687206994e-05,COMPLETE,120,0.614974396267006,0.4210526315789474
8,0.2628538602204326,0.26553854341251365,similarity,32,0.00014838486708828395,gcn,2,1.56723039265098e-05,COMPLETE,139,0.5188164712298882,0.34067796610169493
9,0.33760072785481543,0.2573245682223544,none,128,0.0010914792484405535,gcn,3,0.001612394581087634,COMPLETE,135,0.6118913432112232,0.41963426371511064
10,0.3460530532854365,0.38726899899450706,,128,0.008072136216434905,sage,4,1.8596848633185812e-06,COMPLETE,25,0.6236933006090355,0.4328767123287671
11,0.3460957025408858,0.41823184359596177,,32,0.0005399868068591807,sage,4,0.0002292097903658251,COMPLETE,139,0.6181407750810533,0.4266917293233083
12,0.3543182513820101,0.33624242360890405,,32,0.007336939697970681,sage,4,0.00025308015192381406,COMPLETE,20,0.6223676635457382,0.4321428571428572
13,0.3518906956668525,0.34544816797313604,,32,0.0037302208606723093,sage,4,0.0002557847287594919,COMPLETE,20,0.6036875435566464,0.41209829867674863
14,0.32468599174639445,0.6278194470876044,,32,0.0003606884818483584,sage,4,8.939963712495777e-05,COMPLETE,139,0.5936202769445202,0.4018957345971564
15,0.35231648919982184,0.17957171822375131,,128,0.002356157887931512,sage,3,0.0006247193501935751,COMPLETE,27,0.6170423900857498,0.4251668255481411
16,0.34743568874937936,0.44118389373797795,,32,0.0009156785327148584,sage,4,1.5046508974347746e-05,COMPLETE,89,0.6127927764142653,0.42164179104477606
17,0.34838958786110746,0.3138074050904403,,32,0.005292431098701618,sage,3,0.0006744730818003857,COMPLETE,25,0.6153834499893949,0.42401500938086306
18,0.34220133242159645,0.1766006667468895,threshold_0_7,64,0.00022547203055620215,gcn,4,2.1775129804635472e-06,COMPLETE,137,0.6056116110656606,0.41312741312741313
19,0.3473580575529955,0.45787273863761285,,128,0.001380793053744046,sage,3,0.00013624424260939516,COMPLETE,27,0.6196633639366118,0.42703232125367285
20,0.3564218677447284,0.2869347306708181,threshold_0_7,32,0.0025767716679750505,gcn,4,5.771459929119616e-06,COMPLETE,66,0.6088385904311729,0.41760299625468167
21,0.35313035936373094,0.2957423897755206,threshold_0_7,32,0.0025864463689338523,gcn,4,5.596635642894365e-06,COMPLETE,75,0.606278217131776,0.41444866920152096
22,0.35406536493916574,0.37542931357121223,threshold_0_7,32,0.0007108891428311919,gcn,4,3.8723257488607105e-05,COMPLETE,136,0.6154819258855255,0.423841059602649
23,0.33878257304907317,0.22723689501545843,threshold_0_7,32,0.0049298836557894144,gcn,4,6.08602086484619e-06,COMPLETE,38,0.5966124291731054,0.405607476635514
24,0.36005481385666727,0.3128838334867663,threshold_0_7,32,0.0021424445566577553,gcn,4,0.0004344458019971471,COMPLETE,84,0.6203375450716602,0.4296160877513711
