epoch,train_loss,train_acc,train_f1,train_pr_auc,val_loss,val_acc,val_f1,val_pr_auc,val_roc_auc
0,0.700055,0.632667,0.216773,0.21926,0.686487,0.322,0.381763,0.297411,0.609856
1,0.691213,0.319333,0.375249,0.274314,0.675967,0.556667,0.410983,0.313946,0.625299
2,0.68032,0.54025,0.38978,0.2931,0.673463,0.659333,0.390942,0.319225,0.625251
3,0.67558,0.648833,0.373103,0.311294,0.669742,0.640667,0.399108,0.323391,0.629266
4,0.672965,0.636833,0.380262,0.318139,0.664887,0.573333,0.404097,0.327332,0.636866
5,0.667753,0.57425,0.403363,0.322509,0.663386,0.543333,0.412017,0.332942,0.643308
6,0.667849,0.550583,0.410537,0.32304,0.661273,0.544667,0.411714,0.336087,0.647939
7,0.665853,0.554083,0.409838,0.330753,0.658586,0.562667,0.400366,0.337858,0.650254
8,0.664254,0.576833,0.409398,0.328864,0.65766,0.604667,0.408774,0.338126,0.652052
9,0.663559,0.608833,0.409263,0.330185,0.656438,0.616667,0.412666,0.339203,0.653961
10,0.662521,0.612833,0.406338,0.329994,0.654693,0.602,0.419825,0.339638,0.656175
11,0.66069,0.599917,0.411426,0.337692,0.654118,0.585333,0.426199,0.338445,0.657471
12,0.661211,0.5805,0.409155,0.334935,0.654089,0.572667,0.424079,0.338837,0.658647
13,0.661202,0.567333,0.410937,0.334643,0.65333,0.584667,0.422614,0.339326,0.659223
14,0.660476,0.579667,0.407286,0.33306,0.65263,0.602,0.420951,0.339637,0.660099
15,0.660284,0.602667,0.414969,0.334029,0.652293,0.616667,0.419778,0.339348,0.661021
16,0.659584,0.619167,0.410475,0.334604,0.65154,0.612667,0.418418,0.341508,0.662745
17,0.660117,0.615417,0.407346,0.336207,0.650634,0.599333,0.42488,0.343447,0.664561
18,0.658982,0.602333,0.413471,0.336324,0.650254,0.583333,0.423963,0.345601,0.666013
19,0.658516,0.58875,0.414799,0.336488,0.650121,0.578667,0.425455,0.347736,0.666775
20,0.658246,0.584583,0.416208,0.337861,0.649745,0.587333,0.427382,0.34907,0.666777
21,0.656996,0.585333,0.415414,0.34076,0.649548,0.598667,0.421154,0.350004,0.666505
22,0.657076,0.600917,0.414046,0.341228,0.649822,0.612,0.423762,0.348079,0.665796
23,0.658519,0.615,0.409811,0.339047,0.649974,0.610667,0.424063,0.347869,0.665323
24,0.657146,0.612917,0.411802,0.339843,0.649921,0.598,0.419634,0.346993,0.665058
25,0.656597,0.607,0.413725,0.340792,0.650062,0.585333,0.420857,0.345838,0.664667
26,0.65667,0.59225,0.415342,0.337697,0.650256,0.582667,0.422509,0.345736,0.664212
27,0.656069,0.59125,0.41932,0.34163,0.65028,0.582,0.421053,0.345307,0.664066
28,0.656104,0.586917,0.417029,0.343119,0.650245,0.592,0.424812,0.345222,0.663712
29,0.654916,0.5975,0.418912,0.34397,0.650347,0.603333,0.428434,0.344891,0.663283
30,0.656691,0.6065,0.411809,0.337507,0.650479,0.603333,0.425121,0.343522,0.66297
31,0.655659,0.608833,0.420637,0.342214,0.650568,0.596,0.421756,0.342851,0.662609
32,0.654617,0.600333,0.417537,0.345436,0.650689,0.59,0.422535,0.341734,0.662291
33,0.655505,0.59275,0.418975,0.343907,0.650782,0.586,0.421249,0.340822,0.662167
34,0.65483,0.594333,0.418399,0.344309,0.650755,0.586,0.420168,0.340713,0.662255
35,0.65479,0.59275,0.419665,0.344695,0.650593,0.593333,0.424528,0.340443,0.662243
36,0.654267,0.602417,0.423165,0.344297,0.650336,0.598667,0.425573,0.340359,0.662561
37,0.654303,0.60275,0.418729,0.345403,0.649986,0.595333,0.423552,0.340506,0.66319
38,0.654551,0.60075,0.417082,0.34358,0.649693,0.59,0.420358,0.341268,0.663836
39,0.653489,0.598333,0.420673,0.346977,0.649447,0.586,0.420168,0.342153,0.664419
40,0.65364,0.594333,0.418538,0.348752,0.649217,0.583333,0.421832,0.342318,0.664626
41,0.653108,0.592417,0.421663,0.351286,0.649002,0.591333,0.421152,0.34275,0.664854
42,0.652628,0.601667,0.420746,0.346602,0.648938,0.599333,0.422671,0.343185,0.665041
43,0.652816,0.60525,0.420975,0.349823,0.648942,0.6,0.424184,0.342957,0.664871
44,0.65321,0.609333,0.424361,0.347885,0.648963,0.588,0.420263,0.342867,0.664786
45,0.653476,0.599917,0.423165,0.345056,0.649047,0.586,0.424467,0.342593,0.664614
46,0.65248,0.598417,0.423082,0.347126,0.649011,0.584,0.42329,0.342264,0.664556
47,0.652629,0.598167,0.424308,0.348352,0.648878,0.588667,0.424977,0.341931,0.66452
48,0.652318,0.598833,0.426085,0.347682,0.648742,0.592,0.42155,0.341202,0.664672
49,0.651638,0.603083,0.424133,0.350487,0.648761,0.595333,0.421354,0.3403,0.664339
