true,predicted,count,share_of_true_class
Head injury,Multiple fractures of ribs,57,0.11354581673306773
Back or spine pain,Limb injury or pain,56,0.06549707602339182
Limb injury or pain,Skin or soft-tissue infection,52,0.05758582502768549
Cardiovascular risk factor,Unspecified atrial fibrillation,47,0.06275033377837116
Skin or soft-tissue infection,Limb injury or pain,44,0.11311053984575835
Limb injury or pain,Laceration w/o fb of l idx fngr w/o damage to nail,42,0.046511627906976744
Head injury,Laceration w/o fb of l idx fngr w/o damage to nail,40,0.0796812749003984
Lower respiratory disease,Acute upper respiratory infection,39,0.10569105691056911
Back or spine pain,Cardiovascular risk factor,37,0.04327485380116959
Cardiovascular risk factor,Limb injury or pain,36,0.04806408544726302
Back or spine pain,Multiple fractures of ribs,34,0.03976608187134503
Acute pharyngitis,Acute upper respiratory infection,33,0.19642857142857142
Back or spine pain,Head injury,33,0.03859649122807018
Limb injury or pain,Head injury,31,0.03433001107419712
UTI or pyelonephritis,Lower respiratory disease,31,0.07506053268765134
Limb injury or pain,Diabetes mellitus,30,0.03322259136212625
Cardiovascular risk factor,Acute upper respiratory infection,29,0.03871829105473965
Cardiovascular risk factor,Anxiety disorder,29,0.03871829105473965
Limb injury or pain,Back or spine pain,29,0.03211517165005537
Lower respiratory disease,Unspecified asthma with (acute) exacerbation,29,0.07859078590785908
Limb injury or pain,Cardiovascular risk factor,28,0.031007751937984496
Cardiovascular risk factor,Dehydration,27,0.036048064085447265
Limb injury or pain,Acute upper respiratory infection,27,0.029900332225913623
Cardiovascular risk factor,Diabetes mellitus,25,0.03337783711615487
Lower respiratory disease,Heart failure,25,0.06775067750677506
Skin or soft-tissue infection,Diabetes mellitus,25,0.06426735218508997
Head injury,Limb injury or pain,24,0.04780876494023904
UTI or pyelonephritis,Cardiovascular risk factor,23,0.05569007263922518
Back or spine pain,UTI or pyelonephritis,22,0.025730994152046785
Cardiovascular risk factor,UTI or pyelonephritis,22,0.029372496662216287
Major depressive disorder,Anxiety disorder,22,0.08239700374531835
UTI or pyelonephritis,Dehydration,22,0.053268765133171914
GI bleed,Anemia,21,0.0695364238410596
Unspecified atrial fibrillation,Cardiovascular risk factor,21,0.11731843575418995
Back or spine pain,Diabetes mellitus,20,0.023391812865497075
Cardiovascular risk factor,Hypothyroidism,20,0.0267022696929239
Diabetes mellitus,Skin or soft-tissue infection,20,0.047058823529411764
Head injury,Back or spine pain,20,0.0398406374501992
Back or spine pain,Anxiety disorder,19,0.022222222222222223
Head injury,Anxiety disorder,19,0.037848605577689244
