class,precision,recall,f1,support
Limb injury or pain,0.703956343792633,0.5714285714285714,0.6308068459657702,903
Back or spine pain,0.8512658227848101,0.6292397660818714,0.7236045729657028,855
Cardiovascular risk factor,0.6168582375478927,0.42990654205607476,0.5066876475216365,749
Head injury,0.6737400530503979,0.5059760956175299,0.5779294653014789,502
Diabetes mellitus,0.5695067264573991,0.5976470588235294,0.5832376578645235,425
UTI or pyelonephritis,0.5476190476190477,0.3898305084745763,0.45544554455445546,413
Skin or soft-tissue infection,0.6,0.5552699228791774,0.5767690253671562,389
Lower respiratory disease,0.4763636363636364,0.35501355013550134,0.40683229813664595,369
Alcohol abuse with intoxication,0.870253164556962,0.7971014492753623,0.8320726172465961,345
GI bleed,0.8375,0.6655629139072847,0.7416974169741697,302
Major depressive disorder,0.868,0.8127340823970037,0.839458413926499,267
Unspecified atrial fibrillation,0.4272300469483568,0.5083798882681564,0.4642857142857143,179
Acute pharyngitis,0.9016393442622951,0.6547619047619048,0.7586206896551724,168
Anxiety disorder,0.38492063492063494,0.7028985507246377,0.49743589743589745,138
Dehydration,0.2193877551020408,0.3333333333333333,0.26461538461538464,129
Acute kidney failure,0.32275132275132273,0.4765625,0.38485804416403785,128
Hypokalemia,0.39375,0.49606299212598426,0.43902439024390244,127
Laceration w/o fb of l idx fngr w/o damage to nail,0.48148148148148145,0.7459016393442623,0.5852090032154341,122
Unsp intestnl obst,0.5147058823529411,0.5982905982905983,0.5533596837944664,117
Anemia,0.4437869822485207,0.6578947368421053,0.5300353356890459,114
Unspecified asthma with (acute) exacerbation,0.44886363636363635,0.7053571428571429,0.5486111111111112,112
Epilepsy,0.6513761467889908,0.7319587628865979,0.6893203883495146,97
Heart failure,0.345679012345679,0.6588235294117647,0.4534412955465587,85
Acute upper respiratory infection,0.16731517509727625,0.524390243902439,0.2536873156342183,82
Non-ST elevation (NSTEMI) myocardial infarction,0.7142857142857143,0.625,0.6666666666666666,72
Multiple fractures of ribs,0.193717277486911,0.5285714285714286,0.2835249042145594,70
Hypothyroidism,0.26153846153846155,0.5230769230769231,0.3487179487179487,65
Hypotension,0.17391304347826086,0.2553191489361702,0.20689655172413793,47
End stage renal disease,0.23853211009174313,0.5909090909090909,0.33986928104575165,44
Sepsis,0.2184873949579832,0.6341463414634146,0.325,41
