,Acute kidney failure,Acute pharyngitis,Acute upper respiratory infection,Alcohol abuse with intoxication,Anemia,Anxiety disorder,Back or spine pain,Cardiovascular risk factor,Dehydration,Diabetes mellitus,End stage renal disease,Epilepsy,GI bleed,Head injury,Heart failure,Hypokalemia,Hypotension,Hypothyroidism,Laceration w/o fb of l idx fngr w/o damage to nail,Limb injury or pain,Lower respiratory disease,Major depressive disorder,Multiple fractures of ribs,Non-ST elevation (NSTEMI) myocardial infarction,Sepsis,Skin or soft-tissue infection,UTI or pyelonephritis,Unsp intestnl obst,Unspecified asthma with (acute) exacerbation,Unspecified atrial fibrillation
Acute kidney failure,46,0,1,0,11,0,3,5,11,4,6,1,1,0,5,10,3,1,0,0,2,1,3,2,3,0,4,1,0,4
Acute pharyngitis,1,125,16,0,1,1,4,2,2,1,0,0,0,1,0,1,0,1,3,1,2,0,0,1,0,2,2,0,0,1
Acute upper respiratory infection,0,8,40,0,0,2,0,4,2,3,0,0,0,0,1,1,0,2,0,2,6,1,0,0,0,0,1,0,9,0
Alcohol abuse with intoxication,1,0,0,280,1,6,2,5,9,1,0,6,1,6,0,2,1,0,3,1,1,11,2,1,1,0,0,1,3,0
Anemia,2,0,2,1,79,0,0,1,4,1,1,0,8,0,0,2,1,2,0,0,4,0,0,2,0,1,1,0,0,2
Anxiety disorder,0,0,5,2,0,83,0,3,12,2,0,3,0,1,0,1,0,5,1,2,0,13,0,0,0,0,1,0,2,2
Back or spine pain,3,0,12,2,4,10,551,35,6,17,0,2,6,32,0,7,0,22,5,58,8,0,26,3,3,10,21,2,3,7
Cardiovascular risk factor,6,0,26,3,15,19,9,304,39,27,5,6,5,11,14,33,14,28,4,29,13,5,17,26,4,9,19,11,11,37
Dehydration,3,1,9,0,3,7,0,3,54,6,0,1,4,1,0,6,3,6,0,1,3,1,0,1,3,2,3,3,1,4
Diabetes mellitus,8,1,4,2,8,4,5,15,11,234,5,5,0,4,12,15,5,6,1,12,13,2,1,8,4,12,17,4,1,6
End stage renal disease,2,0,0,0,2,0,0,1,0,0,21,0,0,1,3,8,1,0,0,0,2,0,0,1,0,1,1,0,0,0
Epilepsy,0,0,2,1,0,2,2,3,2,1,0,76,1,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,1,1
GI bleed,2,0,3,0,38,2,0,8,20,1,0,0,201,0,0,2,5,3,0,1,3,0,0,1,5,0,2,3,0,2
Head injury,2,0,5,6,3,4,25,12,9,11,0,6,1,246,0,5,3,6,50,23,6,2,45,8,0,5,2,0,3,14
Heart failure,2,0,0,0,5,0,0,2,0,3,1,0,0,0,53,2,1,0,0,0,7,0,0,4,0,0,0,0,2,3
Hypokalemia,11,0,0,0,8,1,0,2,15,2,1,0,1,2,6,64,0,1,0,0,1,2,1,0,2,3,1,2,1,0
Hypotension,0,1,0,1,2,0,0,1,6,0,1,0,1,2,0,5,13,0,0,0,1,0,1,1,7,0,2,0,0,2
Hypothyroidism,0,0,3,1,0,2,1,4,3,2,0,1,0,1,0,2,0,39,0,2,1,0,1,0,0,0,1,1,0,0
Laceration w/o fb of l idx fngr w/o damage to nail,0,0,0,0,0,0,2,2,1,1,0,0,0,1,0,0,0,4,92,15,0,1,0,0,0,2,0,0,1,0
Limb injury or pain,6,9,25,5,15,5,38,28,14,25,5,4,2,27,3,12,2,13,31,555,7,0,15,6,1,37,2,0,5,6
Lower respiratory disease,3,2,28,0,7,1,2,14,7,10,2,4,2,2,26,23,2,5,0,1,135,0,7,11,15,1,5,6,32,16
Major depressive disorder,1,0,1,3,1,13,3,2,7,1,0,2,1,1,0,0,0,0,2,3,1,223,0,0,0,0,0,0,2,0
Multiple fractures of ribs,0,0,0,0,1,0,4,1,0,1,0,0,0,10,0,1,0,1,1,1,6,0,37,1,0,1,1,0,1,2
Non-ST elevation (NSTEMI) myocardial infarction,1,0,0,0,1,0,0,2,1,1,0,0,1,0,2,2,1,0,0,1,1,0,0,54,2,0,0,0,0,2
Sepsis,0,0,0,0,5,0,1,0,3,1,0,0,1,0,1,1,1,0,0,0,3,0,0,0,20,1,1,1,0,1
Skin or soft-tissue infection,3,0,12,3,12,3,8,12,4,17,1,3,3,1,2,9,0,5,7,44,18,3,2,0,4,204,4,3,0,2
UTI or pyelonephritis,14,3,18,2,18,1,10,26,27,15,2,4,4,5,4,11,5,10,3,4,29,3,4,3,22,9,141,7,3,6
Unsp intestnl obst,2,0,1,0,2,0,0,6,11,4,1,0,3,0,0,4,2,3,0,0,3,0,0,0,2,0,6,65,0,2
Unspecified asthma with (acute) exacerbation,1,1,16,0,0,0,0,2,0,2,0,0,0,0,4,1,0,0,1,0,7,0,0,0,0,0,1,0,75,1
Unspecified atrial fibrillation,2,0,0,0,1,1,2,14,5,7,0,1,1,3,13,9,1,2,1,2,8,0,4,9,4,0,0,0,0,89
