true,predicted,count,share_of_true_class
Back or spine pain,Limb injury or pain,58,0.06783625730994151
Head injury,Laceration w/o fb of l idx fngr w/o damage to nail,50,0.099601593625498
Head injury,Multiple fractures of ribs,45,0.08964143426294821
Skin or soft-tissue infection,Limb injury or pain,44,0.11311053984575835
Cardiovascular risk factor,Dehydration,39,0.0520694259012016
GI bleed,Anemia,38,0.12582781456953643
Limb injury or pain,Back or spine pain,38,0.042081949058693245
Cardiovascular risk factor,Unspecified atrial fibrillation,37,0.049399198931909215
Limb injury or pain,Skin or soft-tissue infection,37,0.04097452934662237
Back or spine pain,Cardiovascular risk factor,35,0.04093567251461988
Cardiovascular risk factor,Hypokalemia,33,0.044058744993324434
Back or spine pain,Head injury,32,0.03742690058479532
Lower respiratory disease,Unspecified asthma with (acute) exacerbation,32,0.08672086720867209
Limb injury or pain,Laceration w/o fb of l idx fngr w/o damage to nail,31,0.03433001107419712
Cardiovascular risk factor,Limb injury or pain,29,0.03871829105473965
UTI or pyelonephritis,Lower respiratory disease,29,0.07021791767554479
Cardiovascular risk factor,Hypothyroidism,28,0.037383177570093455
Limb injury or pain,Cardiovascular risk factor,28,0.031007751937984496
Lower respiratory disease,Acute upper respiratory infection,28,0.07588075880758807
Cardiovascular risk factor,Diabetes mellitus,27,0.036048064085447265
Limb injury or pain,Head injury,27,0.029900332225913623
UTI or pyelonephritis,Dehydration,27,0.06537530266343826
Back or spine pain,Multiple fractures of ribs,26,0.0304093567251462
Cardiovascular risk factor,Acute upper respiratory infection,26,0.03471295060080107
Cardiovascular risk factor,Non-ST elevation (NSTEMI) myocardial infarction,26,0.03471295060080107
Lower respiratory disease,Heart failure,26,0.07046070460704607
UTI or pyelonephritis,Cardiovascular risk factor,26,0.06295399515738499
Head injury,Back or spine pain,25,0.049800796812749
Limb injury or pain,Acute upper respiratory infection,25,0.02768549280177187
Limb injury or pain,Diabetes mellitus,25,0.02768549280177187
Head injury,Limb injury or pain,23,0.045816733067729085
Lower respiratory disease,Hypokalemia,23,0.06233062330623306
Back or spine pain,Hypothyroidism,22,0.025730994152046785
UTI or pyelonephritis,Sepsis,22,0.053268765133171914
Back or spine pain,UTI or pyelonephritis,21,0.02456140350877193
GI bleed,Dehydration,20,0.06622516556291391
Cardiovascular risk factor,Anxiety disorder,19,0.025367156208277702
