class,precision,recall,f1,support
Limb injury or pain,0.7321899736147758,0.6146179401993356,0.6682721252257676,903
Back or spine pain,0.8199404761904762,0.6444444444444445,0.7216764898493778,855
Cardiovascular risk factor,0.5857418111753372,0.40587449933244324,0.4794952681388013,749
Head injury,0.6871508379888268,0.4900398406374502,0.5720930232558139,502
Diabetes mellitus,0.5835411471321695,0.5505882352941176,0.5665859564164649,425
UTI or pyelonephritis,0.5899581589958159,0.3414043583535109,0.4325153374233129,413
Skin or soft-tissue infection,0.6777408637873754,0.5244215938303342,0.591304347826087,389
Lower respiratory disease,0.4639175257731959,0.36585365853658536,0.4090909090909091,369
Alcohol abuse with intoxication,0.8974358974358975,0.8115942028985508,0.852359208523592,345
GI bleed,0.8104838709677419,0.6655629139072847,0.730909090909091,302
Major depressive disorder,0.832089552238806,0.8352059925093633,0.8336448598130841,267
Unspecified atrial fibrillation,0.419811320754717,0.4972067039106145,0.45524296675191817,179
Acute pharyngitis,0.8278145695364238,0.7440476190476191,0.7836990595611285,168
Anxiety disorder,0.49700598802395207,0.6014492753623188,0.5442622950819672,138
Dehydration,0.18947368421052632,0.4186046511627907,0.2608695652173913,129
Acute kidney failure,0.3770491803278688,0.359375,0.368,128
Hypokalemia,0.26556016597510373,0.5039370078740157,0.34782608695652173,127
Laceration w/o fb of l idx fngr w/o damage to nail,0.44878048780487806,0.7540983606557377,0.5626911314984709,122
Unsp intestnl obst,0.5909090909090909,0.5555555555555556,0.5726872246696035,117
Anemia,0.32510288065843623,0.6929824561403509,0.4425770308123249,114
Unspecified asthma with (acute) exacerbation,0.4807692307692308,0.6696428571428571,0.5597014925373134,112
Epilepsy,0.608,0.7835051546391752,0.6846846846846847,97
Heart failure,0.35333333333333333,0.6235294117647059,0.451063829787234,85
Acute upper respiratory infection,0.17467248908296942,0.4878048780487805,0.2572347266881029,82
Non-ST elevation (NSTEMI) myocardial infarction,0.3776223776223776,0.75,0.5023255813953489,72
Multiple fractures of ribs,0.22289156626506024,0.5285714285714286,0.3135593220338983,70
Hypothyroidism,0.23636363636363636,0.6,0.3391304347826087,65
Hypotension,0.2,0.2765957446808511,0.23214285714285715,47
End stage renal disease,0.40384615384615385,0.4772727272727273,0.4375,44
Sepsis,0.19607843137254902,0.4878048780487805,0.27972027972027974,41
