~/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
{"stage": "bound", "parameter_count": 266142, "counts": {"train": 77930, "validation": 9582}, "edges": "all", "edge_payload": false, "message_passing": true}
comparison/standardized/clinical_graph_v2/train.py:223: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /Users/runner/work/pytorch/pytorch/pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  total += float(loss) * batch.num_graphs
{"epoch": 1, "train_loss": 2.930945, "accuracy": 0.33302, "balanced_acc": 0.267764, "macro_f1": 0.243837, "micro_f1": 0.33302, "top3_acc": 0.554164, "top5_acc": 0.670737, "seconds": 110.8}
{"epoch": 2, "train_loss": 2.183955, "accuracy": 0.469839, "balanced_acc": 0.408846, "macro_f1": 0.39583, "micro_f1": 0.469839, "top3_acc": 0.667815, "top5_acc": 0.75934, "seconds": 147.6}
{"epoch": 3, "train_loss": 1.964964, "accuracy": 0.4976, "balanced_acc": 0.450649, "macro_f1": 0.429072, "micro_f1": 0.4976, "top3_acc": 0.699436, "top5_acc": 0.785014, "seconds": 180.9}
{"epoch": 4, "train_loss": 1.883603, "accuracy": 0.507723, "balanced_acc": 0.459642, "macro_f1": 0.450505, "micro_f1": 0.507723, "top3_acc": 0.709664, "top5_acc": 0.796076, "seconds": 213.9}
{"epoch": 5, "train_loss": 1.83494, "accuracy": 0.510123, "balanced_acc": 0.452367, "macro_f1": 0.445068, "micro_f1": 0.510123, "top3_acc": 0.716761, "top5_acc": 0.806721, "seconds": 246.9}
{"epoch": 6, "train_loss": 1.801968, "accuracy": 0.511793, "balanced_acc": 0.466585, "macro_f1": 0.448268, "micro_f1": 0.511793, "top3_acc": 0.716656, "top5_acc": 0.807034, "seconds": 279.9}
{"epoch": 7, "train_loss": 1.783927, "accuracy": 0.511271, "balanced_acc": 0.46015, "macro_f1": 0.450209, "micro_f1": 0.511271, "top3_acc": 0.714882, "top5_acc": 0.802964, "seconds": 317.5}
{"epoch": 8, "train_loss": 1.758656, "accuracy": 0.514819, "balanced_acc": 0.46464, "macro_f1": 0.455551, "micro_f1": 0.514819, "top3_acc": 0.722814, "top5_acc": 0.809017, "seconds": 355.3}
{"epoch": 9, "train_loss": 1.737282, "accuracy": 0.509601, "balanced_acc": 0.479672, "macro_f1": 0.439032, "micro_f1": 0.509601, "top3_acc": 0.718952, "top5_acc": 0.805469, "seconds": 392.6}
{"epoch": 10, "train_loss": 1.720903, "accuracy": 0.512732, "balanced_acc": 0.479768, "macro_f1": 0.453841, "micro_f1": 0.512732, "top3_acc": 0.720622, "top5_acc": 0.80192, "seconds": 429.6}
{"epoch": 11, "train_loss": 1.713281, "accuracy": 0.509393, "balanced_acc": 0.484212, "macro_f1": 0.4536, "micro_f1": 0.509393, "top3_acc": 0.713317, "top5_acc": 0.80359, "seconds": 466.1}
{"epoch": 12, "train_loss": 1.697599, "accuracy": 0.513045, "balanced_acc": 0.479564, "macro_f1": 0.454611, "micro_f1": 0.513045, "top3_acc": 0.717282, "top5_acc": 0.810374, "seconds": 502.3}
{"stage": "completed", "selected_epoch": 8, "accuracy": 0.514819, "balanced_acc": 0.46464, "macro_f1": 0.455551, "micro_f1": 0.514819, "top3_acc": 0.722814, "top5_acc": 0.809017}
