category,method,topology,seed,status,error,parameter_count,accuracy,balanced_acc,macro_f1,micro_f1,top3_acc,top5_acc
primary,protgnn,star,1234,completed,,99946,0.588251,0.573391,0.535592,0.588251,0.769313,0.845896
primary,protgnn,star,1235,completed,,99946,0.588117,0.564797,0.530746,0.588117,0.773203,0.843616
primary,protgnn,star,1236,completed,,99946,0.588385,0.560827,0.526507,0.588385,0.779506,0.848578
primary,protgnn,cooccur,1234,completed,,99946,0.587983,0.566141,0.531054,0.587983,0.776019,0.850992
primary,protgnn,cooccur,1235,completed,,99946,0.586239,0.55865,0.523304,0.586239,0.782725,0.857967
primary,protgnn,cooccur,1236,completed,,99946,0.59147,0.569213,0.535085,0.59147,0.779506,0.848444
primary,gsat,star,1234,completed,,212258,0.602065,0.574038,0.541805,0.602065,0.804587,0.880231
primary,gsat,star,1235,completed,,212258,0.592275,0.56976,0.528754,0.592275,0.797344,0.871647
primary,gsat,star,1236,completed,,212258,0.606626,0.584364,0.546712,0.606626,0.812634,0.883718
primary,gsat,cooccur,1234,completed,,212258,0.600724,0.582233,0.539966,0.600724,0.808074,0.87956
primary,gsat,cooccur,1235,completed,,212258,0.592945,0.575981,0.528342,0.592945,0.796808,0.872049
primary,gsat,cooccur,1236,completed,,212258,0.597237,0.55741,0.532603,0.597237,0.796271,0.872049
primary,graphcare,star,1234,completed,,158120,0.561829,0.487741,0.477061,0.561829,0.755633,0.82779
primary,graphcare,star,1235,completed,,158120,0.563841,0.48891,0.476598,0.563841,0.754694,0.834362
primary,graphcare,star,1236,completed,,158120,0.564109,0.492381,0.483426,0.564109,0.750402,0.831277
primary,graphcare,cooccur,1234,completed,,158120,0.565585,0.503631,0.488388,0.565585,0.754426,0.827924
primary,graphcare,cooccur,1235,completed,,158120,0.551905,0.483891,0.471209,0.551905,0.750402,0.829399
primary,graphcare,cooccur,1236,completed,,158120,0.565451,0.485797,0.477992,0.565451,0.757108,0.829399
