true,pred,count,pct_of_true_class
Back or spine pain,Limb injury or pain,183,10.4
Skin or soft-tissue infection,Limb injury or pain,174,19.9
Limb injury or pain,Head injury,108,5.6
Limb injury or pain,Back or spine pain,96,4.9
Head injury,Limb injury or pain,90,8.0
Athscl heart disease of native coronary artery w/o ang pctrs,Cardiovascular risk factor,88,58.7
Limb injury or pain,Skin or soft-tissue infection,87,4.5
UTI or pyelonephritis,Cardiovascular risk factor,85,9.9
Cardiovascular risk factor,Limb injury or pain,82,6.1
Limb injury or pain,Cardiovascular risk factor,74,3.8
Back or spine pain,Head injury,72,4.1
Back or spine pain,Cardiovascular risk factor,69,3.9
Head injury,Back or spine pain,65,5.8
Laceration w/o fb of l idx fngr w/o damage to nail,Limb injury or pain,57,18.8
Unspecified atrial fibrillation,Cardiovascular risk factor,57,15.4
Lower respiratory disease,Cardiovascular risk factor,49,6.5
UTI or pyelonephritis,Diabetes mellitus,49,5.7
Heart failure,Lower respiratory disease,49,27.7
Diabetes mellitus,Cardiovascular risk factor,49,5.7
Multiple fractures of ribs,Head injury,48,32.7
Head injury,Cardiovascular risk factor,48,4.3
Cardiovascular risk factor,Back or spine pain,48,3.6
Limb injury or pain,Diabetes mellitus,47,2.4
Head injury,Laceration w/o fb of l idx fngr w/o damage to nail,46,4.1
UTI or pyelonephritis,Limb injury or pain,46,5.4
Back or spine pain,UTI or pyelonephritis,45,2.5
Lower respiratory disease,UTI or pyelonephritis,44,5.9
Skin or soft-tissue infection,Diabetes mellitus,43,4.9
Laceration w/o fb of l idx fngr w/o damage to nail,Head injury,42,13.9
Diabetes mellitus,Skin or soft-tissue infection,41,4.8
UTI or pyelonephritis,Back or spine pain,41,4.8
Dehydration,Cardiovascular risk factor,39,14.9
Skin or soft-tissue infection,Cardiovascular risk factor,39,4.5
Cardiovascular risk factor,Head injury,38,2.8
Cardiovascular risk factor,Diabetes mellitus,38,2.8
Unspecified asthma with (acute) exacerbation,Lower respiratory disease,38,16.8
UTI or pyelonephritis,Lower respiratory disease,38,4.4
Cardiovascular risk factor,UTI or pyelonephritis,37,2.8
Cardiovascular risk factor,Lower respiratory disease,33,2.5
Diabetes mellitus,Limb injury or pain,33,3.9
Back or spine pain,Diabetes mellitus,32,1.8
GI bleed,Anemia,32,5.2
Anxiety disorder,Limb injury or pain,30,10.5
Acute upper respiratory infection,Lower respiratory disease,30,17.1
Dehydration,UTI or pyelonephritis,29,11.1
UTI or pyelonephritis,Head injury,27,3.2
Hypothyroidism,Cardiovascular risk factor,27,20.8
Skin or soft-tissue infection,UTI or pyelonephritis,26,3.0
UTI or pyelonephritis,Skin or soft-tissue infection,26,3.0
Limb injury or pain,Laceration w/o fb of l idx fngr w/o damage to nail,26,1.3
Anxiety disorder,Cardiovascular risk factor,26,9.1
Limb injury or pain,Lower respiratory disease,25,1.3
Multiple fractures of ribs,Back or spine pain,25,17.0
Cardiovascular risk factor,Skin or soft-tissue infection,25,1.9
Lower respiratory disease,Heart failure,25,3.3
Lower respiratory disease,Diabetes mellitus,24,3.2
UTI or pyelonephritis,Acute kidney failure,24,2.8
Sepsis,UTI or pyelonephritis,23,27.4
Acute kidney failure,UTI or pyelonephritis,23,9.0
Unsp intestnl obst,Cardiovascular risk factor,23,9.7
Diabetes mellitus,Lower respiratory disease,23,2.7
Skin or soft-tissue infection,Lower respiratory disease,23,2.6
Alcohol abuse with intoxication,Major depressive disorder,23,3.2
Hypokalemia,Cardiovascular risk factor,23,8.9
Lower respiratory disease,Back or spine pain,22,2.9
GI bleed,Cardiovascular risk factor,22,3.6
Alcohol abuse with intoxication,Head injury,21,2.9
Cardiovascular risk factor,Unspecified atrial fibrillation,21,1.6
