graph_idx,true_label,pred_label,correct,num_nodes,num_edges,GradExplainer_min,GradExplainer_max,GradExplainer_mean,GradExplainer_std,IntegratedGradExplainer_min,IntegratedGradExplainer_max,IntegratedGradExplainer_mean,IntegratedGradExplainer_std,GNNExplainer_min,GNNExplainer_max,GNNExplainer_mean,GNNExplainer_std,any_error
0,2,23,False,23,46,0.8747069835662842,3.7150421142578125,2.3974545001983643,0.652862012386322,-1.6666972637176514,0.5273189544677734,-0.1290731579065323,0.3731318712234497,0.0,1.0,0.260869562625885,0.4391089081764221,False
1,21,19,False,17,32,10.66427230834961,17.191734313964844,13.825355529785156,1.2673711776733398,-0.40212154388427734,-0.07667892426252365,-0.16142326593399048,0.09310045838356018,0.0,1.0,0.3529411852359772,0.47788459062576294,False
2,12,12,True,18,34,-13.697772979736328,-2.0510292053222656,-10.41954517364502,2.528071165084839,-0.6404731869697571,0.031044485047459602,-0.05757366865873337,0.17466285824775696,0.0,1.0,0.4444444477558136,0.49690401554107666,False
3,29,29,True,24,46,-5.8395915031433105,-2.7341599464416504,-3.801287889480591,0.7603238224983215,-3.2247440814971924,0.7733265161514282,-0.13664284348487854,0.6954576969146729,0.0,1.0,0.5,0.5,False
4,0,15,False,28,54,-1.6892346143722534,1.5717049837112427,-0.38816091418266296,0.6012318730354309,-1.9986371994018555,0.3580246865749359,-0.07698038965463638,0.3918429911136627,0.0,1.0,0.2857142984867096,0.45175397396087646,False
5,18,18,True,28,56,-0.2808961868286133,0.06726362556219101,-0.0929335206747055,0.06972970068454742,-2.471330404281616,0.4596676230430603,-0.15976111590862274,0.5680913925170898,0.0,1.0,0.25,0.4330126941204071,False
6,9,1,False,20,38,-0.2529349625110626,-0.008439399302005768,-0.14022144675254822,0.049300819635391235,-3.919966220855713,0.32058849930763245,-0.24737122654914856,0.8548067808151245,0.0,1.0,0.5,0.5,False
7,18,18,True,21,40,-0.047508448362350464,0.06612096726894379,-0.029632534831762314,0.02376616559922695,-2.291365146636963,0.27394258975982666,-0.21037183701992035,0.5791062116622925,0.0,1.0,0.4285714328289032,0.4948716461658478,False
8,29,29,True,24,46,-0.25662824511528015,0.09095334261655807,-0.10523396730422974,0.06862520426511765,-1.7815430164337158,0.19645874202251434,-0.15266670286655426,0.40655186772346497,0.0,1.0,0.5416666865348816,0.49826085567474365,False
9,20,20,True,25,48,-0.8058853149414062,-0.3798227310180664,-0.5005020499229431,0.1348830610513687,-2.0934267044067383,0.4356522560119629,-0.15250205993652344,0.4888624846935272,0.0,1.0,0.36000001430511475,0.47999998927116394,False
10,17,17,True,19,36,-0.1034989207983017,-0.03768596053123474,-0.056784115731716156,0.017498457804322243,-1.8204697370529175,-0.010674779303371906,-0.20468367636203766,0.4679715931415558,0.0,1.0,0.3684210479259491,0.482376366853714,False
11,20,20,True,21,40,-0.060529924929142,-0.00048198504373431206,-0.04007912427186966,0.011864541098475456,-2.503310203552246,0.2312406599521637,-0.18691705167293549,0.5262743234634399,0.0,1.0,0.380952388048172,0.4856209456920624,False
12,21,19,False,18,34,9.506914138793945,23.96701431274414,21.953603744506836,3.062941312789917,-0.3593575060367584,0.18473216891288757,-0.1258590668439865,0.13472703099250793,0.0,1.0,0.6666666865348816,0.4714045226573944,False
13,2,2,True,17,32,-0.011935984715819359,0.0033341050148010254,0.0010862883646041155,0.0033273070584982634,-3.7776541709899902,0.1825699508190155,-0.2749006748199463,0.8780246376991272,0.0,1.0,0.529411792755127,0.4991341829299927,False
14,9,0,False,27,54,-2.122908592224121,0.12365341186523438,-1.4398986101150513,0.5511146783828735,-0.7349299192428589,0.18805639445781708,-0.12046008557081223,0.18427042663097382,0.0,1.0,0.37037035822868347,0.4829038679599762,False
15,14,14,True,24,48,0.011402998119592667,0.13668322563171387,0.07921373844146729,0.027804378420114517,-3.7083468437194824,0.14847396314144135,-0.21853649616241455,0.7338485717773438,0.0,1.0,0.2916666567325592,0.45452967286109924,False
16,24,25,False,22,42,-6.937424659729004,-3.402122974395752,-4.50270414352417,0.9228091835975647,-1.4048587083816528,0.20547166466712952,-0.10256817191839218,0.3134973347187042,0.0,1.0,0.4545454680919647,0.4979296028614044,False
17,9,13,False,24,46,6.793973922729492,13.522785186767578,8.635281562805176,1.8227721452713013,-0.8717687726020813,0.40103858709335327,-0.012371246702969074,0.20658984780311584,0.0,1.0,0.2916666567325592,0.45452964305877686,False
18,22,22,True,23,50,-0.18540531396865845,-0.04474585875868797,-0.07658648490905762,0.030984224751591682,-2.4239180088043213,0.25387489795684814,-0.18550099432468414,0.5142608880996704,0.0,1.0,0.52173912525177,0.4995271563529968,False
19,24,24,True,24,46,-3.8369803428649902,1.5797722339630127,-1.5747095346450806,1.1041938066482544,-2.823230266571045,0.7815994620323181,-0.15822216868400574,0.5996068120002747,0.0,1.0,0.375,0.4841229319572449,False
20,4,25,False,29,58,-4.96794319152832,-0.9827418327331543,-3.2931692600250244,0.6484225392341614,-1.9502137899398804,2.2523539066314697,-0.09516038000583649,0.669468343257904,0.0,1.0,0.3103448152542114,0.46263474225997925,False
21,25,25,True,28,56,0.19940757751464844,1.626835584640503,0.5080753564834595,0.3747749328613281,-2.590003490447998,0.2478964626789093,-0.11905292421579361,0.4826269745826721,0.0,1.0,0.3928571343421936,0.48838549852371216,False
22,17,17,True,23,44,-0.14242136478424072,-0.029803603887557983,-0.05911389738321304,0.03365493565797806,-3.043179988861084,0.5712680816650391,-0.16924399137496948,0.631658136844635,0.0,1.0,0.52173912525177,0.4995271563529968,False
23,28,19,False,17,32,2.920515298843384,3.534463405609131,3.178065299987793,0.20846869051456451,-1.6839311122894287,0.04673568904399872,-0.17688249051570892,0.378618448972702,0.0,1.0,0.7647058963775635,0.4241825044155121,False
24,20,6,False,24,48,-1.218027114868164,1.4332671165466309,-0.06510743498802185,0.5492260456085205,-1.5230381488800049,0.2397896647453308,-0.17028270661830902,0.3634217381477356,0.0,1.0,0.25,0.4330126941204071,False
