epoch,train_loss,train_acc,eval_loss,eval_acc,eval_f1,eval_pr_auc,eval_recall,eval_precision
0,0.819,0.5391,0.642,0.6215,,0.5635,,
1,0.6781,0.6742,0.6492,0.6795,,0.6173,,
2,0.644,0.6939,0.6892,0.7,,0.6251,,
3,0.6254,0.7097,0.6371,0.706,,0.641,,
4,0.6104,0.7176,0.6052,0.7005,,0.6542,,
5,0.599,0.7186,0.6413,0.7195,,0.6647,,
6,0.583,0.7266,0.6017,0.7195,,0.6742,,
7,0.5766,0.7281,0.6293,0.7255,,0.6801,,
8,0.5739,0.7271,0.5742,0.722,,0.6814,,
9,0.5701,0.7257,0.5944,0.7275,,0.6847,,
10,0.5636,0.7318,0.5676,0.731,,0.6887,,
11,0.5642,0.7304,0.5979,0.7325,,0.689,,
12,0.5582,0.7341,0.5846,0.7265,,0.6867,,
13,0.5553,0.7326,0.5596,0.7175,,0.6884,,
14,0.5567,0.7326,0.5491,0.7255,,0.6878,,
15,0.5517,0.7372,0.556,0.7275,,0.6899,,
16,0.551,0.7334,0.5573,0.707,,0.6907,,
17,0.5518,0.7332,0.567,0.7275,,0.6915,,
18,0.5475,0.7349,0.5667,0.7315,,0.693,,
19,0.5474,0.7352,0.5429,0.727,,0.6941,,
20,0.5484,0.7301,0.5493,0.725,,0.6912,,
21,0.5455,0.7366,0.5509,0.7215,,0.6933,,
22,0.5421,0.7374,0.555,0.7375,,0.6955,,
23,0.5462,0.7342,0.5435,0.7195,,0.6924,,
24,0.5399,0.7346,0.5494,0.7205,,0.691,,
25,0.6597,0.7097,0.5476,0.7185,,0.6725,,
26,0.5554,0.7316,0.5841,0.6935,,0.6839,,
27,0.5499,0.7356,0.5561,0.7305,,0.6933,,
28,0.5451,0.7361,0.5458,0.713,,0.6941,,
29,0.5407,0.7361,0.5677,0.698,,0.6943,,
30,0.543,0.7342,0.5576,0.7295,,0.6947,,
31,0.5426,0.7358,0.5475,0.722,,0.6956,,
32,0.5394,0.7384,0.5549,0.7255,,0.692,,
33,0.5364,0.7383,0.5467,0.7145,,0.6971,,
34,0.5395,0.7356,0.5442,0.7245,,0.6967,,
35,0.6102,0.73,0.5584,0.7125,,0.6793,,
36,0.5532,0.7375,0.5717,0.7175,,0.688,,
37,0.5479,0.7404,0.5602,0.729,,0.6945,,
38,0.5443,0.7395,0.569,0.7045,,0.6945,,
39,0.5445,0.7399,0.5784,0.7045,,0.6957,,
40,0.5412,0.7384,0.5504,0.7225,,0.6955,,
41,0.5374,0.7406,0.5498,0.732,,0.6974,,
42,0.539,0.7402,0.5752,0.741,,0.6992,,
43,0.5361,0.739,0.553,0.7165,,0.6965,,
44,0.5397,0.7368,0.5586,0.72,,0.6962,,
45,0.6231,0.7144,0.6342,0.7335,,0.6904,,
46,0.5517,0.7361,0.6335,0.739,,0.6976,,
47,0.5438,0.7412,0.5776,0.7325,,0.6966,,
48,0.5416,0.7448,0.5733,0.7245,,0.6964,,
49,0.5429,0.7393,0.5791,0.7175,,0.6984,,
50,0.5393,0.7391,0.581,0.73,,0.6981,,
51,0.5362,0.7391,0.5804,0.7285,,0.6994,,
52,0.5366,0.7435,0.5862,0.726,,0.7018,,
53,0.5363,0.7431,0.5966,0.7335,,0.697,,
54,0.5376,0.7388,0.5693,0.7245,,0.7012,,
55,0.5816,0.7352,0.6774,0.7325,,0.6947,,
56,0.5437,0.7394,0.6531,0.7305,,0.6949,,
57,0.5401,0.742,0.7011,0.7255,,0.697,,
58,0.5375,0.7429,0.6568,0.7195,,0.7008,,
59,0.5368,0.7402,0.6719,0.7385,,0.7022,,
60,0.5378,0.7442,0.6136,0.7245,,0.7001,,
61,0.5349,0.7414,0.614,0.7165,,0.7001,,
62,0.5345,0.7419,0.6338,0.7345,,0.7005,,
63,0.5325,0.7379,0.705,0.7385,,0.7013,,
64,0.5353,0.7416,0.6127,0.73,,0.7021,,
65,0.5652,0.7336,0.7449,0.728,,0.694,,
66,0.5429,0.7397,0.6725,0.7355,,0.6993,,
67,0.5361,0.7438,0.6457,0.7295,,0.7005,,
68,0.5358,0.7379,0.6109,0.7255,,0.7002,,
69,0.5344,0.7439,0.6748,0.742,,0.7029,,
70,0.5395,0.7404,0.6492,0.727,,0.6988,,
71,0.5301,0.7432,0.6055,0.7305,,0.7037,,
72,0.5339,0.7402,0.6228,0.7385,,0.7003,,
73,0.532,0.7397,0.6052,0.7315,,0.6992,,
74,0.5357,0.7356,0.5893,0.727,,0.7012,,
