epoch,train_loss,train_acc,eval_loss,eval_acc,eval_f1,eval_pr_auc,eval_recall,eval_precision
0,1.16481,0.38125,0.689684,0.429,0.564122,0.713144,0.982713,0.39561
1,1.005503,0.585562,0.685186,0.566,0.619298,0.724647,0.93883,0.462042
2,0.908052,0.7105,0.674828,0.6885,0.669496,0.716409,0.839096,0.556929
3,0.828759,0.749875,0.654268,0.7165,0.67948,0.708922,0.799202,0.590954
4,0.743611,0.776,0.602876,0.744,0.690447,0.705706,0.759309,0.633038
5,0.572286,0.784125,0.520946,0.741,0.688702,0.728261,0.761968,0.628289
6,0.479796,0.785188,0.512636,0.7465,0.689528,0.745149,0.74867,0.639047
7,0.436221,0.806688,0.524109,0.7505,0.695917,0.723801,0.759309,0.642295
8,0.403409,0.818125,0.549328,0.7445,0.666231,0.727047,0.678191,0.654685
9,0.379796,0.831562,0.546754,0.7585,0.681188,0.72247,0.68617,0.676278
10,0.343691,0.851125,0.564125,0.7515,0.681614,0.713666,0.707447,0.657602
11,0.32101,0.862563,0.580586,0.757,0.692015,0.714927,0.726064,0.661017
12,0.289286,0.878062,0.605783,0.7445,0.685538,0.688989,0.740691,0.63803
13,0.274857,0.885375,0.657006,0.728,0.66,0.681273,0.702128,0.622642
14,0.250758,0.894938,0.654598,0.743,0.661397,0.696041,0.667553,0.655352
15,0.225493,0.911563,0.695294,0.728,0.644444,0.681513,0.655585,0.633676
16,0.212884,0.912062,0.751456,0.7225,0.6593,0.677846,0.714096,0.612315
17,0.196338,0.920937,0.817656,0.737,0.624286,0.698633,0.581117,0.674383
18,0.180691,0.928375,0.865107,0.738,0.62942,0.672234,0.591755,0.672205
19,0.145344,0.945438,0.869005,0.729,0.655654,0.671407,0.68617,0.627737
20,0.142053,0.946313,0.878022,0.727,0.650895,0.668108,0.676862,0.626847
21,0.126774,0.951937,0.900804,0.7235,0.649778,0.666589,0.682181,0.620314
22,0.120577,0.954625,0.94023,0.7125,0.633991,0.672088,0.662234,0.608059
23,0.106826,0.960438,1.047186,0.716,0.615176,0.65578,0.603723,0.627072
24,0.096723,0.965562,1.087153,0.719,0.647428,0.65382,0.68617,0.612827
25,0.110169,0.95625,1.048589,0.741,0.649526,0.678513,0.638298,0.661157
26,0.082406,0.970812,1.117992,0.7155,0.63549,0.669263,0.659574,0.613103
27,0.072555,0.974812,1.148182,0.7145,0.642902,0.66018,0.683511,0.606848
