epoch,train_loss,train_acc,eval_loss,eval_acc,eval_f1,eval_pr_auc,eval_recall,eval_precision
0,1.125021,0.399,0.689154,0.4405,0.568786,0.711016,0.981383,0.400434
1,0.959869,0.633312,0.680472,0.6505,0.657185,0.727433,0.890957,0.520591
2,0.860453,0.731625,0.662109,0.7155,0.679075,0.729205,0.800532,0.589618
3,0.772274,0.751938,0.627722,0.7255,0.682108,0.727056,0.783245,0.604103
4,0.673577,0.774563,0.562839,0.75,0.686717,0.723136,0.728723,0.649289
5,0.532092,0.780937,0.519205,0.754,0.687421,0.739771,0.719415,0.658151
6,0.471666,0.787687,0.513568,0.76,0.697352,0.741534,0.735372,0.66307
7,0.432601,0.80675,0.520648,0.756,0.689962,0.743141,0.722074,0.660584
8,0.401852,0.821688,0.573561,0.756,0.645864,0.724186,0.591755,0.710863
9,0.380093,0.83325,0.530089,0.7525,0.673698,0.736597,0.679521,0.667974
10,0.347177,0.850187,0.55085,0.756,0.684347,0.730598,0.703457,0.666247
11,0.320369,0.865062,0.564987,0.7425,0.678727,0.732048,0.723404,0.639248
12,0.29274,0.881375,0.576326,0.75,0.685535,0.72279,0.724734,0.650358
13,0.280017,0.885312,0.631553,0.7505,0.668879,0.721697,0.670213,0.66755
14,0.251774,0.898312,0.634892,0.7525,0.677524,0.716924,0.691489,0.664112
15,0.232931,0.907813,0.645122,0.731,0.682783,0.697361,0.769947,0.613347
16,0.219376,0.912937,0.702705,0.737,0.680437,0.705251,0.744681,0.626398
17,0.192484,0.923813,0.853538,0.737,0.602719,0.697295,0.530585,0.697552
18,0.170625,0.936063,0.815137,0.7385,0.633497,0.686638,0.601064,0.66963
19,0.140438,0.95175,0.820245,0.7345,0.658081,0.696745,0.679521,0.637953
20,0.125053,0.958063,0.878623,0.735,0.657623,0.688835,0.676862,0.639447
21,0.131085,0.952812,1.046834,0.728,0.568254,0.687498,0.476064,0.704724
22,0.127853,0.953375,0.915099,0.7305,0.62334,0.670115,0.593085,0.656848
23,0.105094,0.965875,0.911042,0.7155,0.639645,0.674672,0.671543,0.610641
24,0.086243,0.973,1.033614,0.7185,0.615174,0.674746,0.598404,0.632911
25,0.076745,0.9775,0.97585,0.7265,0.657911,0.685653,0.699468,0.621015
26,0.091567,0.968812,0.98451,0.7325,0.662886,0.687007,0.699468,0.62994
27,0.075151,0.976,1.01128,0.73,0.665012,0.684728,0.712766,0.623256
28,0.082502,0.972063,0.996972,0.73,0.666667,0.690406,0.718085,0.62212
