epoch,train_loss,train_acc,eval_loss,eval_acc,eval_f1,eval_pr_auc,eval_recall,eval_precision
0,1.182043,0.376125,0.690154,0.3765,0.54671,0.720463,1.0,0.376188
1,1.03072,0.56625,0.686598,0.546,0.614928,0.736686,0.964096,0.451432
2,0.940719,0.691875,0.680184,0.681,0.670795,0.731343,0.864362,0.548061
3,0.869412,0.732812,0.667909,0.7135,0.687398,0.717247,0.837766,0.582794
4,0.798651,0.76875,0.636747,0.7515,0.694905,0.698148,0.75266,0.645382
5,0.652548,0.784937,0.534457,0.7435,0.700875,0.706142,0.799202,0.624091
6,0.4972,0.781125,0.503528,0.7415,0.691343,0.740708,0.769947,0.627302
7,0.457249,0.795562,0.514498,0.763,0.695764,0.731927,0.720745,0.672457
8,0.424772,0.808187,0.567346,0.7605,0.674813,0.716393,0.660904,0.68932
9,0.404168,0.8215,0.53018,0.747,0.684539,0.724409,0.730053,0.644366
10,0.379272,0.832187,0.581361,0.753,0.652113,0.715686,0.615691,0.693114
11,0.353841,0.845625,0.57105,0.7425,0.680719,0.702716,0.730053,0.637631
12,0.320519,0.86,0.638517,0.7525,0.671968,0.708101,0.674202,0.669749
13,0.30577,0.865187,0.689028,0.7405,0.639833,0.694785,0.613032,0.669086
14,0.289703,0.875062,0.683491,0.751,0.65272,0.697873,0.62234,0.686217
15,0.259506,0.891062,0.684949,0.738,0.657963,0.677728,0.670213,0.646154
16,0.245504,0.89425,0.704859,0.7245,0.662997,0.663434,0.720745,0.613817
17,0.226507,0.90525,0.720786,0.732,0.655527,0.681902,0.678191,0.634328
18,0.209733,0.912062,0.763696,0.723,0.643501,0.661072,0.664894,0.623441
19,0.201115,0.912188,0.771611,0.7325,0.670364,0.675746,0.723404,0.624569
20,0.182861,0.922312,0.80619,0.7175,0.636656,0.650973,0.658245,0.616438
21,0.168198,0.927312,0.873381,0.737,0.647453,0.662381,0.642287,0.652703
22,0.151259,0.937125,0.903959,0.723,0.630174,0.647861,0.62766,0.632708
23,0.14549,0.939813,0.917947,0.717,0.622163,0.647452,0.619681,0.624665
24,0.139821,0.941438,0.983763,0.7295,0.624566,0.634745,0.598404,0.65312
25,0.137859,0.94225,1.057129,0.712,0.608696,0.629715,0.595745,0.622222
26,0.124488,0.948187,1.0308,0.7365,0.641253,0.659835,0.62633,0.656904
27,0.119668,0.950688,1.084285,0.711,0.633249,0.615342,0.663564,0.605583
