epoch,train_loss,train_acc,eval_loss,eval_acc,eval_f1,eval_pr_auc,eval_recall,eval_precision
0,1.180661,0.376125,0.690067,0.377,0.546909,0.717099,1.0,0.376376
1,1.03995,0.563562,0.686414,0.5405,0.612073,0.728132,0.964096,0.448361
2,0.940057,0.694625,0.679553,0.683,0.670135,0.72228,0.856383,0.550427
3,0.866335,0.73325,0.666474,0.7215,0.689347,0.708387,0.821809,0.59366
4,0.794086,0.770938,0.636519,0.7495,0.68785,0.691889,0.734043,0.647128
5,0.650108,0.784125,0.536727,0.7505,0.7003,0.696097,0.775266,0.638554
6,0.496859,0.783563,0.508001,0.7625,0.691358,0.740674,0.707447,0.675985
7,0.459053,0.796438,0.523939,0.767,0.702046,0.72329,0.730053,0.676108
8,0.424202,0.8095,0.559651,0.761,0.673497,0.718197,0.655585,0.692416
9,0.402884,0.820875,0.535748,0.758,0.685714,0.723033,0.702128,0.670051
10,0.37227,0.836875,0.574182,0.7635,0.667604,0.718921,0.631649,0.707899
11,0.347283,0.847688,0.581051,0.76,0.689119,0.707301,0.707447,0.671717
12,0.314743,0.862688,0.625237,0.753,0.678385,0.706025,0.692819,0.664541
13,0.303891,0.866,0.633799,0.731,0.655128,0.70249,0.679521,0.632426
14,0.277688,0.879062,0.660208,0.7535,0.650602,0.710463,0.610372,0.69651
15,0.256919,0.889062,0.668946,0.744,0.662714,0.698162,0.668883,0.656658
16,0.236846,0.897375,0.681448,0.7295,0.669921,0.680592,0.730053,0.61894
17,0.217466,0.909875,0.747637,0.74,0.645293,0.699919,0.628989,0.662465
18,0.199983,0.913563,0.745715,0.7335,0.648185,0.671865,0.652926,0.643512
19,0.188317,0.922937,0.779918,0.749,0.661269,0.695438,0.651596,0.671233
20,0.173004,0.929312,0.782288,0.7195,0.650031,0.661669,0.692819,0.612221
21,0.159936,0.933438,0.817353,0.7355,0.652202,0.678727,0.659574,0.644993
22,0.144979,0.941813,0.909073,0.73,0.637097,0.66404,0.630319,0.644022
23,0.155718,0.935063,0.913768,0.716,0.638217,0.660591,0.666223,0.612469
24,0.144767,0.937813,1.014123,0.7405,0.63113,0.663401,0.590426,0.677863
25,0.133382,0.947688,0.950524,0.719,0.637887,0.655148,0.658245,0.61875
26,0.119211,0.951438,1.015923,0.725,0.638158,0.683142,0.644947,0.63151
27,0.103558,0.958688,1.057387,0.723,0.627688,0.66048,0.621011,0.634511
