epoch,train_loss,train_acc,eval_loss,eval_acc,eval_f1,eval_pr_auc,eval_recall,eval_precision
0,0.377657,0.637625,0.690968,0.624,0.0,0.65366,0.0,0.0
1,-0.03577,0.623938,0.690309,0.624,0.0,0.698674,0.0,0.0
2,-0.40685,0.623938,0.690205,0.624,0.0,0.682225,0.0,0.0
3,-0.81007,0.623938,0.690082,0.624,0.0,0.679804,0.0,0.0
4,-1.227961,0.623938,0.689619,0.624,0.0,0.696263,0.0,0.0
5,-1.663889,0.623938,0.688997,0.624,0.0,0.683491,0.0,0.0
6,-2.134697,0.623938,0.688167,0.624,0.0,0.7082,0.0,0.0
7,-2.62156,0.623938,0.684562,0.624,0.0,0.704167,0.0,0.0
8,-3.162399,0.623938,0.682731,0.624,0.0,0.710715,0.0,0.0
9,-3.718317,0.623938,0.681331,0.624,0.0,0.70949,0.0,0.0
10,-4.324578,0.623938,0.675612,0.624,0.0,0.695913,0.0,0.0
11,-4.963818,0.623938,0.676019,0.624,0.0,0.71129,0.0,0.0
12,-5.672796,0.623938,0.665388,0.624,0.0,0.717113,0.0,0.0
13,-6.383547,0.623938,0.66148,0.624,0.0,0.710623,0.0,0.0
14,-7.090512,0.623938,0.665051,0.624,0.0,0.714355,0.0,0.0
15,-7.849374,0.623938,0.66192,0.624,0.0,0.715086,0.0,0.0
16,-8.656594,0.623938,0.662302,0.624,0.0,0.71655,0.0,0.0
17,-9.471055,0.623938,0.65837,0.624,0.0,0.715025,0.0,0.0
18,-10.344587,0.623938,0.658979,0.624,0.0,0.712558,0.0,0.0
19,-11.176892,0.623938,0.655845,0.624,0.0,0.712446,0.0,0.0
20,-12.093057,0.623938,0.65726,0.624,0.0,0.714575,0.0,0.0
21,-13.086648,0.623938,0.662417,0.624,0.0,0.721963,0.0,0.0
22,-14.026184,0.623938,0.658355,0.624,0.0,0.717207,0.0,0.0
23,-15.046563,0.623938,0.655494,0.624,0.0,0.71454,0.0,0.0
24,-16.040574,0.623938,0.657876,0.624,0.0,0.70878,0.0,0.0
25,-17.106776,0.623938,0.65762,0.624,0.0,0.706237,0.0,0.0
26,-18.188815,0.623938,0.654149,0.624,0.0,0.703958,0.0,0.0
27,-19.483314,0.623938,0.659828,0.624,0.0,0.710538,0.0,0.0
28,-20.46671,0.623938,0.653797,0.624,0.0,0.710708,0.0,0.0
29,-21.738873,0.623938,0.654347,0.624,0.0,0.713038,0.0,0.0
30,-23.014114,0.623938,0.656648,0.624,0.0,0.714668,0.0,0.0
31,-24.274558,0.623938,0.655089,0.624,0.0,0.712098,0.0,0.0
32,-25.554244,0.623938,0.650454,0.624,0.0,0.720113,0.0,0.0
33,-26.755012,0.623938,0.649922,0.624,0.0,0.720944,0.0,0.0
34,-28.064354,0.623938,0.648862,0.624,0.0,0.717949,0.0,0.0
35,-29.41869,0.623938,0.653242,0.624,0.0,0.717417,0.0,0.0
36,-30.724152,0.623938,0.644862,0.624,0.0,0.722322,0.0,0.0
37,-32.408115,0.623938,0.651124,0.624,0.0,0.724747,0.0,0.0
38,-33.741773,0.623938,0.651447,0.624,0.0,0.723031,0.0,0.0
39,-35.062328,0.623938,0.64837,0.624,0.0,0.71487,0.0,0.0
40,-36.667767,0.623938,0.648949,0.624,0.0,0.718175,0.0,0.0
41,-38.172471,0.623938,0.652175,0.624,0.0,0.717146,0.0,0.0
42,-39.757813,0.623938,0.646248,0.624,0.0,0.718689,0.0,0.0
43,-41.30403,0.623938,0.650764,0.624,0.0,0.715136,0.0,0.0
44,-42.679231,0.623938,0.646489,0.624,0.0,0.714322,0.0,0.0
45,-44.535435,0.623938,0.645661,0.624,0.0,0.720008,0.0,0.0
46,-46.007007,0.623938,0.642376,0.624,0.0,0.720518,0.0,0.0
47,-47.595052,0.623938,0.642489,0.624,0.0,0.712068,0.0,0.0
48,-49.50748,0.623938,0.650904,0.624,0.0,0.719517,0.0,0.0
49,-50.982299,0.623938,0.646813,0.624,0.0,0.710283,0.0,0.0
50,-52.889286,0.624188,0.64596,0.624,0.0,0.714583,0.0,0.0
51,-54.297719,0.62525,0.640942,0.624,0.0,0.711673,0.0,0.0
52,-56.216668,0.63075,0.652162,0.624,0.0,0.71361,0.0,0.0
53,-57.75715,0.646,0.643685,0.6235,0.0,0.704475,0.0,0.0
54,-59.844961,0.669063,0.647204,0.627,0.015831,0.724654,0.007979,1.0
55,-61.766031,0.695812,0.645107,0.6285,0.026212,0.719316,0.013298,0.909091
56,-63.635805,0.72675,0.645084,0.627,0.018421,0.716872,0.009309,0.875
57,-65.675423,0.751,0.652383,0.629,0.031332,0.709808,0.015957,0.857143
58,-67.581477,0.779062,0.646975,0.638,0.076531,0.713547,0.039894,0.9375
