graph_idx,true_label,pred_label,correct,num_nodes,num_edges,GradExplainer_min,GradExplainer_max,GradExplainer_mean,GradExplainer_std,IntegratedGradExplainer_min,IntegratedGradExplainer_max,IntegratedGradExplainer_mean,IntegratedGradExplainer_std,GNNExplainer_min,GNNExplainer_max,GNNExplainer_mean,GNNExplainer_std,any_error
0,0,1,False,11,20,-20.094282150268555,40.301673889160156,1.9870587587356567,16.279935836791992,-1.3036776781082153,0.8067874908447266,-0.03284017741680145,0.6373539566993713,0.0,1.0,0.8181818127632141,0.38569462299346924,False
1,0,1,False,11,20,-76.50877380371094,45.790645599365234,-5.636387825012207,27.30824089050293,-0.5154581665992737,1.128669261932373,0.09085764735937119,0.43210577964782715,0.0,1.0,0.8181818127632141,0.38569462299346924,False
2,1,0,False,11,20,-61.932342529296875,9.276535034179688,-17.41164207458496,22.623031616210938,-7.292466163635254,6.86618709564209,0.41190603375434875,3.128753423690796,0.0,1.0,0.7272727489471436,0.44536176323890686,False
3,0,0,True,11,20,-0.017708249390125275,0.009631836786866188,-0.0030617504380643368,0.007255208678543568,-0.2133728265762329,-0.004051761701703072,-0.08616191893815994,0.06849510222673416,0.0,1.0,0.6363636255264282,0.4810457229614258,False
4,0,0,True,11,20,0.004725252278149128,0.5191088914871216,0.12210767716169357,0.17521268129348755,-0.21729688346385956,0.006180286407470703,-0.08794902265071869,0.07490983605384827,0.0,1.0,0.6363636255264282,0.4810457229614258,False
5,0,0,True,11,20,-0.530275285243988,3.4825024604797363,0.6965963244438171,1.1548856496810913,-0.9609687328338623,0.44355976581573486,-0.08693064004182816,0.3162404000759125,0.0,1.0,0.5454545617103577,0.4979296028614044,False
6,0,0,True,11,20,-0.008466619998216629,0.009908195585012436,0.0008889987948350608,0.00530355516821146,-0.4640008509159088,0.1163865402340889,-0.08346330374479294,0.15067626535892487,0.0,1.0,0.5454545617103577,0.4979296028614044,False
7,1,0,False,11,20,-24.973373413085938,72.014404296875,7.946956157684326,22.503942489624023,-0.9414533972740173,5.068249225616455,0.4883168935775757,1.4877525568008423,0.0,1.0,0.7272727489471436,0.44536176323890686,False
8,0,1,False,11,20,-43.85125732421875,11.176652908325195,-8.736949920654297,17.787078857421875,-1.0623655319213867,1.183077096939087,0.1483515501022339,0.5910718441009521,0.0,1.0,0.3636363744735718,0.4810457229614258,False
9,0,0,True,11,20,-14.679245948791504,25.2549991607666,4.846074104309082,11.164972305297852,-0.23934213817119598,0.21806371212005615,-0.04535335674881935,0.1329193413257599,0.0,1.0,0.7272727489471436,0.44536176323890686,False
10,0,0,True,11,20,-0.2663196921348572,0.10861651599407196,-0.05840334668755531,0.08847665041685104,-0.23127979040145874,-0.014582470059394836,-0.08418498933315277,0.08012133091688156,0.0,1.0,0.6363636255264282,0.4810457229614258,False
11,1,1,True,11,20,-0.11134922504425049,0.008204388432204723,-0.016084840521216393,0.03346369042992592,-0.13180968165397644,0.023571927100419998,-0.04441705346107483,0.053684767335653305,0.0,1.0,0.7272727489471436,0.44536176323890686,False
12,0,1,False,11,20,-12.850342750549316,47.26826858520508,13.172760963439941,17.84059715270996,-1.8542863130569458,5.564004898071289,0.7551078796386719,1.9938606023788452,0.0,1.0,0.9090909361839294,0.28747978806495667,False
13,1,1,True,11,20,-109.1106948852539,2.514338970184326,-18.424104690551758,31.67025375366211,-2.4907755851745605,1.601136326789856,-0.005662983283400536,0.9154093861579895,0.0,1.0,0.7272727489471436,0.44536176323890686,False
14,1,1,True,11,20,-15.516556739807129,18.46343421936035,-0.5686166286468506,7.495034694671631,-3.569453716278076,4.777370929718018,0.052206385880708694,1.9431205987930298,0.0,1.0,0.8181818127632141,0.38569462299346924,False
15,1,1,True,11,20,-0.7443421483039856,0.42361289262771606,-0.020377710461616516,0.28004521131515503,-0.3708972930908203,0.4097117483615875,-0.046635594218969345,0.18273714184761047,0.0,1.0,0.6363636255264282,0.4810457229614258,False
