graph_idx,true_label,pred_label,correct,num_nodes,num_edges,GradExplainer_min,GradExplainer_max,GradExplainer_mean,GradExplainer_std,IntegratedGradExplainer_min,IntegratedGradExplainer_max,IntegratedGradExplainer_mean,IntegratedGradExplainer_std,GNNExplainer_min,GNNExplainer_max,GNNExplainer_mean,GNNExplainer_std,any_error
0,2,23,False,23,46,1.018709659576416,2.624196767807007,1.987442970275879,0.3735318183898926,-1.702778697013855,0.34683293104171753,-0.1525430530309677,0.3585302233695984,0.0,1.0,0.43478259444236755,0.495728462934494,False
1,21,8,False,17,32,8.870635032653809,13.429628372192383,10.883127212524414,1.2391374111175537,-0.39485666155815125,-0.0804264172911644,-0.18933270871639252,0.07842252403497696,0.0,1.0,0.529411792755127,0.4991341829299927,False
2,12,12,True,18,34,-8.490800857543945,-2.1284327507019043,-6.0596513748168945,1.648648738861084,-0.9425389170646667,0.04307258129119873,-0.11703130602836609,0.23950552940368652,0.0,1.0,0.6666666865348816,0.4714045226573944,False
3,29,29,True,24,46,-4.335208415985107,-1.4938597679138184,-2.7209818363189697,0.5520735383033752,-2.5940849781036377,0.4090454876422882,-0.14197808504104614,0.5394485592842102,0.0,1.0,0.2916666567325592,0.45452967286109924,False
4,0,15,False,28,54,-3.576221227645874,-0.7449725866317749,-1.9912327527999878,0.5513135194778442,-2.071852207183838,0.7811635136604309,-0.06526996195316315,0.42960840463638306,0.0,1.0,0.3214285671710968,0.46702489256858826,False
5,18,18,True,28,56,-0.40791183710098267,-0.03954188525676727,-0.20103178918361664,0.0688786432147026,-2.251819610595703,0.31985893845558167,-0.14546315371990204,0.5117548704147339,0.0,1.0,0.2857142984867096,0.45175397396087646,False
6,9,1,False,20,38,-0.01294831931591034,0.010800006799399853,-0.009472324512898922,0.005898113828152418,-3.573838233947754,0.3226611614227295,-0.22766950726509094,0.7772855758666992,0.0,1.0,0.5,0.5,False
7,18,18,True,21,40,-0.1822446584701538,-0.010898049920797348,-0.13316872715950012,0.0426759235560894,-2.282182216644287,0.4978431165218353,-0.19965887069702148,0.5896620154380798,0.0,1.0,0.4285714328289032,0.4948716461658478,False
8,29,29,True,24,46,-0.10590643435716629,0.11794119328260422,-0.015780674293637276,0.056832749396562576,-1.6415433883666992,0.0906355157494545,-0.14651359617710114,0.368002325296402,0.0,1.0,0.5833333134651184,0.4930066168308258,False
9,20,20,True,25,48,-0.10776084661483765,0.13307446241378784,0.034745797514915466,0.05423926189541817,-1.896478295326233,0.2964889109134674,-0.150493785738945,0.42855024337768555,0.0,1.0,0.5199999809265137,0.4995998442173004,False
