epoch,train_loss,train_acc,eval_loss,eval_acc,eval_f1,eval_pr_auc,eval_recall,eval_precision,eval_macro_f1,eval_balanced_acc,eval_top3_acc,eval_top5_acc
0,4.362395,0.187973,2.648052,0.274939,,,,,0.221805,0.274796,0.523233,0.661475
1,3.310695,0.331011,2.060416,0.457974,,,,,0.429958,0.480113,0.686317,0.78839
2,2.740066,0.446636,1.901564,0.510619,,,,,0.477532,0.532215,0.717338,0.803707
3,2.505636,0.496815,1.786994,0.527352,,,,,0.485316,0.55608,0.723774,0.808598
4,2.381191,0.520512,1.768379,0.533273,,,,,0.487743,0.559061,0.723388,0.809371
5,2.30442,0.540397,1.749128,0.538293,,,,,0.499833,0.574508,0.738576,0.82443
6,2.242856,0.551514,1.733076,0.547947,,,,,0.503959,0.570188,0.737547,0.819153
7,2.201291,0.556936,1.739234,0.546531,,,,,0.503178,0.579624,0.744497,0.82443
8,2.164744,0.565076,1.765204,0.543571,,,,,0.495603,0.574711,0.743468,0.826361
9,2.135976,0.570787,1.737485,0.543957,,,,,0.506716,0.579444,0.752607,0.834985
10,2.102029,0.571865,1.724214,0.557215,,,,,0.510506,0.571875,0.755953,0.83447
11,2.034884,0.575308,1.705543,0.550521,,,,,0.513879,0.583853,0.75029,0.836144
12,1.974807,0.578735,1.723391,0.557987,,,,,0.510221,0.574254,0.761102,0.840005
13,1.906055,0.581936,1.747188,0.557601,,,,,0.511186,0.57699,0.760201,0.844253
14,1.84861,0.584736,1.773543,0.543442,,,,,0.500973,0.575852,0.743468,0.827648
15,1.790502,0.587422,1.744958,0.543699,,,,,0.49214,0.570816,0.754795,0.839619
16,1.728501,0.589803,1.766298,0.563779,,,,,0.514046,0.575494,0.757884,0.839233
17,1.672569,0.589852,1.773286,0.547561,,,,,0.501566,0.567468,0.752092,0.836916
18,1.624175,0.591782,1.771666,0.562492,,,,,0.515791,0.573049,0.762775,0.845025
19,1.566772,0.59397,1.777958,0.548977,,,,,0.498203,0.570051,0.756597,0.839233
20,1.516695,0.594582,1.799157,0.556828,,,,,0.502294,0.568558,0.756468,0.847342
21,1.461107,0.597381,1.846131,0.548333,,,,,0.506367,0.564803,0.752478,0.841936
22,1.423578,0.59899,1.826648,0.537006,,,,,0.484368,0.563076,0.742953,0.832797
