epoch,train_loss,train_acc,eval_loss,eval_acc,eval_f1,eval_pr_auc,eval_recall,eval_precision
0,0.561873,0.72175,0.52394,0.7385,0.689614,0.725807,0.772606,0.622722
1,0.490568,0.757437,0.513573,0.7545,0.68465,0.737046,0.708777,0.662112
2,0.469289,0.7735,0.511197,0.7415,0.690974,0.737941,0.768617,0.627579
3,0.461453,0.77475,0.504943,0.739,0.702055,0.748531,0.817819,0.615
4,0.447214,0.783813,0.504691,0.751,0.69145,0.744463,0.742021,0.647332
5,0.434985,0.794312,0.510461,0.7385,0.70063,0.750284,0.81383,0.615075
6,0.42024,0.797875,0.524064,0.7565,0.68842,0.739138,0.715426,0.663379
7,0.402288,0.811562,0.547783,0.75,0.671916,0.742038,0.680851,0.663212
8,0.380758,0.824313,0.595878,0.7405,0.644277,0.712499,0.625,0.664781
9,0.361721,0.834063,0.565847,0.7355,0.665402,0.717722,0.699468,0.634499
10,0.341406,0.844125,0.619871,0.745,0.659546,0.718813,0.656915,0.662198
11,0.311818,0.863313,0.665056,0.7485,0.668425,0.713804,0.674202,0.662745
12,0.294676,0.871,0.747931,0.7535,0.657876,0.708218,0.630319,0.687954
13,0.282362,0.876375,0.748483,0.718,0.662679,0.68264,0.736702,0.602174
14,0.269508,0.88275,0.656126,0.7385,0.663666,0.686201,0.68617,0.64259
15,0.236128,0.898813,0.810945,0.7385,0.664098,0.658644,0.6875,0.642236
16,0.218648,0.904813,0.898227,0.7355,0.662412,0.668976,0.69016,0.63681
17,0.213481,0.907937,0.958581,0.7215,0.631857,0.671622,0.635638,0.628121
18,0.187161,0.919937,0.91341,0.7245,0.633887,0.647353,0.634309,0.633466
19,0.172211,0.927937,1.054704,0.725,0.644243,0.649708,0.662234,0.627204
20,0.164681,0.931688,1.027623,0.7175,0.64885,0.64397,0.694149,0.609102
21,0.160217,0.932125,1.083834,0.7255,0.657517,0.661035,0.700798,0.619271
22,0.136579,0.942438,1.082277,0.708,0.643032,0.614894,0.699468,0.595023
23,0.133371,0.945312,1.185455,0.721,0.618331,0.640404,0.601064,0.63662
24,0.12864,0.946313,1.335458,0.731,0.62166,0.662194,0.587766,0.659701
25,0.122141,0.950125,1.368323,0.739,0.647297,0.652478,0.636968,0.657967
26,0.117688,0.950875,1.430717,0.737,0.63674,0.671317,0.613032,0.662356
