graph_idx,true_label,pred_label,correct,num_nodes,num_edges,GradExplainer_min,GradExplainer_max,GradExplainer_mean,GradExplainer_std,IntegratedGradExplainer_min,IntegratedGradExplainer_max,IntegratedGradExplainer_mean,IntegratedGradExplainer_std,GNNExplainer_min,GNNExplainer_max,GNNExplainer_mean,GNNExplainer_std,any_error
0,12,12,True,17,32,-0.0049073402769863605,0.045901842415332794,0.03769049048423767,0.010936407372355461,-3.632528781890869,0.8340974450111389,-0.25601130723953247,0.8726606369018555,0.0,1.0,0.5882353186607361,0.4921529293060303,False
1,6,22,False,24,46,4.628178119659424,6.45407247543335,5.291909694671631,0.4121339023113251,-1.424129843711853,0.12010805308818817,-0.13233788311481476,0.31167763471603394,0.0,1.0,0.3333333432674408,0.471404492855072,False
2,18,18,True,17,32,-0.42240655422210693,-0.18378114700317383,-0.2872467637062073,0.06008463725447655,-1.4947623014450073,-0.002909044036641717,-0.12820719182491302,0.35463932156562805,0.0,1.0,0.47058823704719543,0.4991341829299927,False
3,25,24,False,32,74,10.145281791687012,18.72277069091797,12.549043655395508,1.7032649517059326,-1.9041345119476318,-0.007490728050470352,-0.1441923826932907,0.3308117389678955,0.0,1.0,0.1875,0.3903123736381531,False
4,25,10,False,16,30,-18.98992347717285,-3.724940299987793,-11.307246208190918,3.4980103969573975,-2.465475559234619,0.07931418716907501,-0.16333292424678802,0.5952892303466797,0.0,1.0,0.6875,0.4635123908519745,False
5,21,21,True,18,34,-0.3440210223197937,0.8110150694847107,0.4372825026512146,0.21273554861545563,-2.8272669315338135,0.027846992015838623,-0.21859599649906158,0.6334510445594788,0.0,1.0,0.6666666865348816,0.4714045226573944,False
6,6,2,False,18,34,0.31618762016296387,3.0148372650146484,1.8419365882873535,0.6995949149131775,-1.272589921951294,-0.02870127558708191,-0.1853460669517517,0.301011860370636,0.0,1.0,0.5555555820465088,0.4969039857387543,False
7,13,13,True,20,38,0.038934603333473206,0.24895071983337402,0.08720717579126358,0.0480213463306427,-1.791429042816162,0.01193615235388279,-0.12100563943386078,0.383708655834198,0.0,1.0,0.800000011920929,0.4000000059604645,False
8,7,13,False,17,32,0.10039019584655762,0.304546982049942,0.23101426661014557,0.05593739449977875,-1.9993786811828613,0.27966225147247314,-0.14630743861198425,0.4704878032207489,0.0,1.0,0.3529411852359772,0.4778846204280853,False
9,19,19,True,17,32,0.052386730909347534,0.14675995707511902,0.07658825069665909,0.0203858632594347,-1.2472774982452393,0.00981650035828352,-0.11202556639909744,0.2880552113056183,0.0,1.0,0.47058823704719543,0.4991341829299927,False
10,25,25,True,27,56,-0.47529423236846924,1.7114152908325195,0.07958769053220749,0.498786985874176,-1.0171836614608765,0.016921445727348328,-0.07582987844944,0.22069498896598816,0.0,1.0,0.29629629850387573,0.45662322640419006,False
11,1,1,True,18,34,0.006467584520578384,0.19548721611499786,0.05054117739200592,0.038152121007442474,-3.169158458709717,-0.024499574676156044,-0.25144922733306885,0.7093137502670288,0.0,1.0,0.4444444477558136,0.49690401554107666,False
12,21,3,False,18,34,3.7784721851348877,6.365830898284912,4.609753608703613,0.606964111328125,-3.122070789337158,1.7740211486816406,-0.13382264971733093,0.8415146470069885,0.0,1.0,0.3333333432674408,0.4714045226573944,False
13,7,7,True,21,40,-14.214340209960938,-8.991543769836426,-10.873003005981445,0.8801053166389465,-0.721012532711029,0.7567446231842041,-0.05143022537231445,0.2857153117656708,0.0,1.0,0.380952388048172,0.4856209456920624,False
14,25,19,False,17,32,0.13415832817554474,0.8774847984313965,0.25760897994041443,0.16658532619476318,-1.2499557733535767,0.10830866545438766,-0.10626029223203659,0.28946518898010254,0.0,1.0,0.529411792755127,0.4991341829299927,False
15,6,6,True,20,38,0.6954567432403564,2.486321449279785,2.0298078060150146,0.4011981189250946,-2.6984846591949463,0.6841162443161011,-0.16352501511573792,0.6086046099662781,0.0,1.0,0.5,0.5,False
16,3,3,True,18,34,-0.01636037975549698,0.15892678499221802,0.03986680507659912,0.03280293568968773,-1.4497425556182861,-0.0009116437286138535,-0.15408223867416382,0.38239333033561707,0.0,1.0,0.6666666865348816,0.4714045524597168,False
17,7,16,False,25,48,-3.4436352252960205,2.350898265838623,-1.2512699365615845,1.0528188943862915,-3.2744319438934326,0.04574068635702133,-0.1431470364332199,0.6409730315208435,0.0,1.0,0.3199999928474426,0.4664761424064636,False
18,13,13,True,22,42,-12.93757438659668,-1.3032188415527344,-9.976754188537598,2.0889387130737305,-2.4400224685668945,0.955410361289978,-0.08619708567857742,0.5542252659797668,0.0,1.0,0.5,0.5,False
19,6,6,True,18,34,0.15633927285671234,0.3234933614730835,0.27554747462272644,0.03199196606874466,-2.3529984951019287,0.13881652057170868,-0.1892419159412384,0.5289415121078491,0.0,1.0,0.4444444477558136,0.49690401554107666,False
20,10,10,True,28,56,0.028676241636276245,1.1462717056274414,0.15714417397975922,0.19684374332427979,-3.535315752029419,0.0086778923869133,-0.16215921938419342,0.6518265604972839,0.0,1.0,0.2857142984867096,0.45175397396087646,False
21,0,26,False,25,50,-9.849804878234863,-4.857449054718018,-6.387629508972168,0.9172356128692627,-1.0643476247787476,0.3408643901348114,-0.13789649307727814,0.26122719049453735,0.0,1.0,0.47999998927116394,0.4995998442173004,False
22,6,17,False,22,42,1.008637547492981,2.2535107135772705,1.1744391918182373,0.25017139315605164,-4.938887596130371,1.041566014289856,-0.20136289298534393,1.0608283281326294,0.0,1.0,0.40909090638160706,0.49166610836982727,False
23,6,6,True,17,32,0.036331720650196075,0.29601332545280457,0.1839258372783661,0.04746810346841812,-2.555227518081665,0.19599321484565735,-0.20162391662597656,0.5931934714317322,0.0,1.0,0.8235294222831726,0.3812200427055359,False
24,20,18,False,17,32,-16.03748321533203,-8.97017765045166,-11.231182098388672,2.0598251819610596,-1.8636966943740845,0.3056528568267822,-0.07603749632835388,0.452075719833374,0.0,1.0,0.6470588445663452,0.47788459062576294,False
25,7,14,False,24,46,-5.5970458984375,7.031657695770264,3.0374157428741455,2.227776527404785,-1.5009846687316895,0.1818263679742813,-0.1557556539773941,0.3236805200576782,0.0,1.0,0.3333333432674408,0.471404492855072,False
26,7,15,False,22,42,-0.01679379492998123,0.029895272105932236,0.01320358831435442,0.008831112645566463,-2.6908669471740723,0.26079386472702026,-0.21681876480579376,0.6098219156265259,0.0,1.0,0.40909090638160706,0.49166613817214966,False
27,19,19,True,18,34,0.4304576814174652,0.7644753456115723,0.5259528756141663,0.07900923490524292,-1.0349798202514648,-0.009446130134165287,-0.10291087627410889,0.22750124335289001,0.0,1.0,0.7222222089767456,0.44790318608283997,False
28,7,29,False,23,44,-1.4022061824798584,7.429431915283203,0.5939408540725708,1.6168429851531982,-1.4819055795669556,0.19459834694862366,-0.12263145297765732,0.3339080512523651,0.0,1.0,0.47826087474823,0.4995271563529968,False
29,25,25,True,24,46,-10.355514526367188,-7.1169538497924805,-8.454708099365234,0.7569485306739807,-1.6635926961898804,0.12809626758098602,-0.082645945250988,0.3327364921569824,0.0,1.0,0.2916666567325592,0.45452967286109924,False
30,19,18,False,17,32,3.1294937133789062,10.018294334411621,5.9039998054504395,1.604161262512207,-0.9223445653915405,0.038776133209466934,-0.05677679181098938,0.21733014285564423,0.0,1.0,0.47058823704719543,0.49913421273231506,False
31,21,5,False,25,50,-1.057868480682373,3.3272104263305664,0.48206549882888794,0.8824700117111206,-6.504405498504639,2.2669827938079834,-0.11430034041404724,1.432710886001587,0.0,1.0,0.6000000238418579,0.4898979365825653,False
32,25,28,False,17,32,0.03929483890533447,3.940645933151245,3.036245107650757,0.8688938021659851,-2.9244539737701416,0.02176991105079651,-0.23664334416389465,0.6794336438179016,0.0,1.0,0.47058823704719543,0.4991341829299927,False
33,19,19,True,17,32,0.1431904137134552,0.27810150384902954,0.17539232969284058,0.030220836400985718,-1.3774852752685547,-0.005096694454550743,-0.11388705670833588,0.31709596514701843,0.0,1.0,0.8235294222831726,0.3812200427055359,False
34,6,6,True,20,38,1.1272611618041992,3.031345844268799,1.637807846069336,0.36809560656547546,-2.664635419845581,0.41613829135894775,-0.16940978169441223,0.5829691886901855,0.0,1.0,0.5,0.5,False
35,5,3,False,18,34,-0.3850884437561035,1.6990914344787598,0.2095029652118683,0.4010668694972992,-2.386768341064453,0.009396620094776154,-0.1464943289756775,0.5440594553947449,0.0,1.0,0.6666666865348816,0.4714045226573944,False
36,28,28,True,21,40,-0.38469117879867554,0.4929006099700928,0.02359754778444767,0.15984578430652618,-2.847679376602173,0.014303012751042843,-0.19943396747112274,0.6259955763816833,0.0,1.0,0.6190476417541504,0.4856209456920624,False
37,13,22,False,19,36,1.270463466644287,1.9850208759307861,1.598761796951294,0.2079523354768753,-1.2655444145202637,0.003443092107772827,-0.1764550656080246,0.3569057583808899,0.0,1.0,0.4736842215061188,0.4993070065975189,False
38,3,3,True,17,32,0.24908092617988586,1.5184420347213745,0.7817482948303223,0.34144628047943115,-2.354769706726074,0.014868609607219696,-0.15128734707832336,0.5511988401412964,0.0,1.0,0.47058823704719543,0.49913421273231506,False
39,9,29,False,22,42,1.4859884977340698,12.224029541015625,3.4475648403167725,2.033250570297241,-1.2802422046661377,0.13619403541088104,-0.08783834427595139,0.2687981426715851,0.0,1.0,0.4545454680919647,0.4979296028614044,False
