epoch,train_loss,train_acc,eval_loss,eval_acc,eval_f1,eval_pr_auc,eval_recall,eval_precision,eval_macro_f1,eval_balanced_acc,eval_top3_acc,eval_top5_acc
0,4.362372,0.188053,2.649523,0.271978,,,,,0.221891,0.274773,0.52259,0.661346
1,3.311655,0.330416,2.074754,0.454627,,,,,0.42573,0.477486,0.68104,0.7844
2,2.742473,0.445011,1.908986,0.505985,,,,,0.475557,0.53599,0.708585,0.794826
3,2.50512,0.496734,1.781144,0.527352,,,,,0.490521,0.563878,0.723517,0.807054
4,2.382613,0.521108,1.76291,0.534174,,,,,0.493793,0.561998,0.733299,0.819024
5,2.309469,0.538386,1.73702,0.532115,,,,,0.493943,0.574835,0.73523,0.819668
6,2.253403,0.546382,1.72486,0.540353,,,,,0.500229,0.573395,0.736259,0.816321
7,2.212223,0.554458,1.72509,0.551294,,,,,0.505249,0.580167,0.744884,0.830866
8,2.168248,0.563162,1.757123,0.539838,,,,,0.487102,0.571939,0.746299,0.829965
9,2.139666,0.567827,1.746248,0.547046,,,,,0.498326,0.571262,0.752993,0.833569
10,2.105237,0.569951,1.724048,0.550264,,,,,0.509054,0.57387,0.759943,0.840906
11,2.039526,0.573941,1.734747,0.550135,,,,,0.508884,0.579008,0.752349,0.838461
12,1.971212,0.578831,1.757306,0.551165,,,,,0.500361,0.563089,0.755696,0.840134
13,1.911865,0.579491,1.765841,0.55464,,,,,0.505126,0.570429,0.763033,0.845797
14,1.853334,0.581647,1.801079,0.536749,,,,,0.487961,0.557805,0.749775,0.828421
15,1.792815,0.587632,1.759542,0.540739,,,,,0.490706,0.570673,0.746814,0.831381
16,1.729837,0.589723,1.751482,0.544986,,,,,0.504236,0.580335,0.750161,0.834985
17,1.672364,0.588742,1.771433,0.54769,,,,,0.499115,0.573921,0.75325,0.830995
18,1.619796,0.590769,1.81585,0.550779,,,,,0.500381,0.558039,0.759815,0.846184
