epoch,train_loss,train_acc,eval_loss,eval_acc,eval_f1,eval_pr_auc,eval_recall,eval_precision
0,1.164811,0.381188,0.689678,0.429,0.564122,0.713215,0.982713,0.39561
1,1.005509,0.585187,0.68519,0.568,0.620387,0.725376,0.93883,0.463255
2,0.907994,0.710313,0.674819,0.6875,0.665238,0.719906,0.825798,0.556951
3,0.828624,0.750375,0.653924,0.7135,0.678271,0.712981,0.803191,0.586978
4,0.742912,0.776125,0.602309,0.741,0.682987,0.712107,0.742021,0.632653
5,0.570771,0.785625,0.52009,0.752,0.685678,0.733038,0.719415,0.654964
6,0.477616,0.788937,0.513127,0.7485,0.689314,0.746327,0.742021,0.643599
7,0.436183,0.807375,0.521765,0.7515,0.689181,0.738595,0.732713,0.650531
8,0.399482,0.819187,0.556218,0.75,0.656121,0.719151,0.634309,0.679487
9,0.381427,0.830562,0.548227,0.752,0.676662,0.72499,0.69016,0.663683
10,0.34187,0.851875,0.568905,0.7455,0.671401,0.709144,0.691489,0.652447
11,0.314677,0.865625,0.597307,0.7625,0.680994,0.711318,0.674202,0.687924
12,0.287644,0.877625,0.608047,0.74,0.666667,0.708183,0.691489,0.643564
13,0.276816,0.886,0.627498,0.7385,0.678154,0.694554,0.732713,0.631157
14,0.246415,0.896687,0.681461,0.7435,0.650307,0.706219,0.634309,0.667133
15,0.220336,0.911625,0.708519,0.7405,0.660118,0.684095,0.670213,0.650323
16,0.203954,0.917438,0.750114,0.721,0.645939,0.674523,0.676862,0.617718
17,0.190395,0.922813,0.757095,0.73,0.66123,0.6906,0.700798,0.625891
18,0.162579,0.9375,0.828763,0.7335,0.648649,0.68101,0.654255,0.643137
19,0.14864,0.9425,0.900382,0.7325,0.64733,0.680689,0.652926,0.64183
20,0.136582,0.947438,0.89151,0.7305,0.650227,0.672235,0.666223,0.634981
21,0.114379,0.95875,0.868748,0.732,0.673569,0.694019,0.735372,0.621348
22,0.119643,0.954187,0.974507,0.728,0.621697,0.673177,0.594415,0.651603
23,0.098717,0.966,1.0394,0.7335,0.645847,0.670785,0.646277,0.645418
24,0.093005,0.966313,1.005973,0.7325,0.669549,0.668639,0.720745,0.625144
25,0.100588,0.963437,1.155521,0.725,0.613764,0.658304,0.581117,0.650298
26,0.088203,0.967063,1.093664,0.728,0.656131,0.678757,0.69016,0.625301
27,0.084558,0.970625,1.129447,0.732,0.643142,0.657444,0.642287,0.644
