epoch,train_loss,train_acc,eval_loss,eval_acc,eval_f1,eval_pr_auc,eval_recall,eval_precision
0,1.144241,0.396562,0.689471,0.4505,0.57254,0.709404,0.978723,0.404618
1,0.982093,0.625812,0.682828,0.6435,0.655389,0.730073,0.901596,0.514806
2,0.885267,0.727062,0.668983,0.7085,0.67412,0.734609,0.801862,0.581485
3,0.802397,0.75475,0.640539,0.724,0.686364,0.743877,0.803191,0.599206
4,0.707413,0.778375,0.579721,0.7435,0.69263,0.726703,0.768617,0.630316
5,0.546033,0.787,0.516487,0.769,0.70232,0.741104,0.724734,0.68125
6,0.474491,0.785875,0.514228,0.749,0.691267,0.737317,0.74734,0.643021
7,0.437086,0.807187,0.523702,0.765,0.6875,0.741071,0.6875,0.6875
8,0.401096,0.823125,0.535351,0.754,0.667118,0.736519,0.655585,0.679063
9,0.374865,0.837562,0.530219,0.7475,0.68653,0.728122,0.735372,0.643772
10,0.339766,0.856688,0.547869,0.7505,0.679923,0.730527,0.704787,0.656753
11,0.313853,0.86925,0.570669,0.7505,0.683175,0.734387,0.715426,0.653706
12,0.286827,0.880812,0.612036,0.7535,0.679662,0.720343,0.695479,0.664549
13,0.285523,0.880062,0.626905,0.741,0.656954,0.727922,0.659574,0.654354
14,0.255423,0.89475,0.717471,0.7465,0.624166,0.724576,0.55984,0.705193
15,0.222665,0.911687,0.702492,0.723,0.651572,0.68958,0.68883,0.618138
16,0.194925,0.924937,0.701309,0.7165,0.667838,0.707594,0.757979,0.596859
17,0.181015,0.929813,0.794599,0.731,0.637954,0.695297,0.630319,0.645777
18,0.163966,0.939438,0.782737,0.7295,0.640532,0.683016,0.640957,0.640106
19,0.138574,0.949688,0.866134,0.7305,0.645628,0.697218,0.652926,0.638492
20,0.129254,0.952937,0.908291,0.727,0.636968,0.68043,0.636968,0.636968
21,0.124902,0.954,0.934518,0.726,0.643693,0.689865,0.658245,0.629771
22,0.112393,0.960187,0.992059,0.7125,0.608577,0.668606,0.594415,0.623431
23,0.102872,0.962313,0.974768,0.712,0.630769,0.664221,0.654255,0.608911
24,0.095018,0.9665,1.047547,0.7265,0.637988,0.677233,0.640957,0.635046
