epoch,train_loss,train_acc,eval_loss,eval_acc,eval_f1,eval_pr_auc,eval_recall,eval_precision
0,1.184941,0.376063,0.690376,0.376,0.546512,0.701901,1.0,0.376
1,1.065058,0.50825,0.68689,0.599,0.636446,0.718568,0.933511,0.482806
2,0.945836,0.687625,0.680924,0.7145,0.678672,0.71477,0.801862,0.588293
3,0.873402,0.727688,0.67025,0.7155,0.680875,0.716386,0.807181,0.588749
4,0.809577,0.760437,0.64916,0.7275,0.671092,0.684381,0.739362,0.614365
5,0.67927,0.774813,0.562079,0.733,0.687354,0.657859,0.780585,0.614017
6,0.520049,0.772813,0.524782,0.744,0.673052,0.715385,0.700798,0.64742
7,0.478184,0.7865,0.542991,0.747,0.673127,0.713843,0.692819,0.654523
8,0.446145,0.800625,0.550354,0.739,0.660598,0.698978,0.675532,0.64631
9,0.427883,0.810375,0.563334,0.7345,0.657198,0.690527,0.676862,0.638645
10,0.400213,0.82175,0.561203,0.7445,0.660465,0.687476,0.660904,0.660027
11,0.379836,0.832875,0.599309,0.7305,0.662492,0.685711,0.703457,0.626036
12,0.351937,0.84475,0.660996,0.734,0.639077,0.675628,0.62633,0.652355
13,0.339002,0.85075,0.670608,0.729,0.634278,0.677039,0.625,0.643836
14,0.317996,0.861313,0.67253,0.73,0.634641,0.661456,0.62367,0.646006
15,0.294386,0.872,0.673492,0.7055,0.632564,0.634596,0.674202,0.59577
16,0.281537,0.87775,0.702288,0.7205,0.657685,0.654271,0.714096,0.609535
17,0.271326,0.87925,0.730583,0.716,0.636829,0.668773,0.662234,0.6133
18,0.255534,0.888375,0.778799,0.704,0.638142,0.63251,0.694149,0.590498
19,0.234281,0.900188,0.817178,0.706,0.609562,0.644311,0.610372,0.608753
20,0.22471,0.903937,0.849494,0.705,0.601889,0.632308,0.593085,0.610959
21,0.207398,0.909937,0.872361,0.7065,0.62444,0.63757,0.648936,0.601726
22,0.200184,0.91425,0.938064,0.716,0.602797,0.625599,0.573138,0.635693
