epoch,train_loss,train_acc,eval_loss,eval_acc,eval_f1,eval_pr_auc,eval_recall,eval_precision
0,1.164811,0.381312,0.689677,0.43,0.56422,0.713394,0.981383,0.395923
1,1.005522,0.585812,0.685186,0.569,0.620932,0.724356,0.93883,0.463863
2,0.907987,0.7105,0.674886,0.686,0.666312,0.718027,0.833777,0.554867
3,0.8287,0.747563,0.654079,0.72,0.68254,0.712683,0.800532,0.594862
4,0.743118,0.776062,0.603969,0.7445,0.690865,0.710339,0.759309,0.63374
5,0.57199,0.784062,0.519033,0.755,0.698276,0.737504,0.753989,0.650229
6,0.479726,0.7855,0.514389,0.745,0.685573,0.744013,0.739362,0.63908
7,0.437547,0.806187,0.525024,0.759,0.687013,0.742194,0.703457,0.67132
8,0.40393,0.819312,0.556857,0.7485,0.661735,0.721642,0.654255,0.669388
9,0.378907,0.833625,0.54604,0.7455,0.679269,0.716854,0.716755,0.645509
10,0.347862,0.8485,0.575618,0.7465,0.668844,0.711746,0.680851,0.657253
11,0.317453,0.866187,0.591766,0.7475,0.676074,0.701774,0.700798,0.653036
12,0.289883,0.87775,0.6116,0.737,0.667929,0.700873,0.703457,0.635817
13,0.275898,0.888375,0.643476,0.731,0.671149,0.680547,0.730053,0.621041
14,0.261815,0.889875,0.660189,0.7445,0.654496,0.713514,0.643617,0.66575
15,0.226901,0.906875,0.709878,0.7195,0.641075,0.666041,0.666223,0.617756
16,0.20579,0.917438,0.739287,0.7145,0.657879,0.675269,0.730053,0.598691
17,0.198425,0.918625,0.791836,0.7405,0.659672,0.68859,0.668883,0.650712
18,0.168451,0.932438,0.880458,0.73,0.620787,0.664809,0.587766,0.657738
19,0.149783,0.943375,0.839174,0.7285,0.652146,0.668936,0.676862,0.629172
20,0.144233,0.943063,0.910015,0.7185,0.644346,0.65765,0.678191,0.613718
21,0.129376,0.949812,0.900177,0.704,0.657407,0.64704,0.755319,0.581967
22,0.120047,0.955,0.942608,0.72,0.646018,0.674102,0.679521,0.615663
23,0.098179,0.964375,0.988573,0.72,0.647799,0.660893,0.68484,0.614558
24,0.107779,0.960063,1.006493,0.727,0.618182,0.67843,0.587766,0.651917
25,0.130202,0.950812,1.121326,0.729,0.647135,0.64234,0.660904,0.633929
26,0.119675,0.952063,1.183048,0.722,0.658896,0.67143,0.714096,0.611617
27,0.098749,0.96375,1.177962,0.71,0.640199,0.653095,0.68617,0.6
