epoch,train_loss,train_acc,eval_loss,eval_acc,eval_f1,eval_pr_auc,eval_recall,eval_precision,eval_macro_f1,eval_balanced_acc,eval_top3_acc,eval_top5_acc
0,4.511595,0.101889,2.953149,0.222259,,,,,0.152605,0.172386,0.465345,0.589137
1,3.660776,0.251234,2.461247,0.373376,,,,,0.307967,0.332262,0.603799,0.705931
2,3.127127,0.381289,2.391031,0.438021,,,,,0.404899,0.420103,0.643286,0.735588
3,2.911935,0.427723,2.235544,0.463845,,,,,0.424176,0.457286,0.653449,0.742086
4,2.805997,0.454097,2.081348,0.514162,,,,,0.476107,0.490803,0.695268,0.774575
5,2.738212,0.468762,2.218176,0.471843,,,,,0.453776,0.467988,0.669444,0.748917
6,2.705393,0.476804,2.046488,0.507831,,,,,0.461354,0.493357,0.694102,0.77041
7,2.660549,0.486157,1.928595,0.531156,,,,,0.491393,0.512052,0.710097,0.79107
8,2.628213,0.494448,2.009741,0.494335,,,,,0.462882,0.495493,0.681106,0.766578
9,2.595601,0.503614,1.901265,0.536321,,,,,0.504791,0.520976,0.718427,0.793569
10,2.562335,0.506885,1.880191,0.537488,,,,,0.48827,0.521398,0.712429,0.797567
11,2.501478,0.511239,1.930406,0.527324,,,,,0.492006,0.521816,0.71143,0.785405
12,2.455033,0.512343,1.826603,0.537821,,,,,0.49716,0.522244,0.721426,0.799733
13,2.386783,0.51828,1.855783,0.532656,,,,,0.49335,0.521858,0.719427,0.792736
14,2.338754,0.520405,1.781129,0.557481,,,,,0.515911,0.537247,0.730257,0.802066
15,2.281765,0.521613,1.815067,0.542652,,,,,0.498991,0.530619,0.725092,0.796401
16,2.2257,0.525176,1.813116,0.543985,,,,,0.504609,0.530681,0.726091,0.8004
17,2.191354,0.526634,1.82647,0.545318,,,,,0.505584,0.533557,0.725758,0.805565
18,2.137159,0.531633,1.840814,0.536488,,,,,0.502147,0.524653,0.718927,0.799234
19,2.088794,0.5293,1.833643,0.553316,,,,,0.507329,0.530544,0.734422,0.808897
20,2.053078,0.5328,1.820347,0.553982,,,,,0.507728,0.532964,0.734755,0.809064
21,2.010854,0.532446,1.793563,0.558147,,,,,0.51761,0.537368,0.735588,0.811063
22,1.963264,0.536612,1.787146,0.544152,,,,,0.50814,0.52751,0.726758,0.802399
23,1.93004,0.5373,1.793707,0.548817,,,,,0.512039,0.535004,0.73059,0.807064
24,1.896238,0.538133,1.797099,0.556814,,,,,0.509602,0.529459,0.739087,0.809563
25,1.876542,0.534279,1.813938,0.547484,,,,,0.505373,0.532014,0.73942,0.814062
